,0,1,2
78,7073-1,CA $104.38,CA $32.78
79,70731-1,CA $76.83,CA $39.68
80,70732-1,CA $266.13,CA $140.63
81,70733-1,CA $83.79,CA $20.75
82,70734-1,CA $110.92,CA $59.66
83,70735-1,CA $121.47,CA $51.36
84,70736-1,CA $212.21,CA $101.80
85,70737-1,CA $225.65,CA $88.01
86,70738-1,CA $301.15,CA $145.78
87,70739-1,CA $48.01,CA $11.61
88,70740-1,CA $25.19,CA $13.99
89,7074-1,CA $65.13,CA $36.75
90,70741-1,CA $25.37,CA $15.96
91,70742-1,CA $29.12,CA $9.49
92,70743-1,CA $35.45,CA $13.40
93,70744-1,CA $38.49,CA $14.62
94,70745-1,CA $54.95,CA $26.79
95,70746-1,CA $61.23,CA $28.78
96,70747-1,CA $54.67,CA $28.16
97,70748-1,CA $105.39,CA $47.26
98,70749-1,CA $144.83,CA $69.12
99,70750-1,CA $177.88,CA $113.21
100,7075-1,-,CA $88.13
101,70751-1,CA $558.12,CA $288.80
102,70752-1,CA $26.57,CA $9.66
103,70753-1,CA $32.37,CA $12.91
104,70754-1,CA $46.96,CA $21.99
105,70755-1,CA $29.41,CA $20.98
106,70756-1,CA $93.48,CA $54.24
107,70778-1,CA $52.23,CA $23.00
108,70779-1,CA $40.05,CA $21.46
109,70780-1,CA $86.39,CA $17.73
110,7078-1,CA $121.93,CA $42.88
111,70781-1,CA $64.96,CA $20.02
112,70782-1,CA $38.48,CA $18.30
113,70783-1,CA $69.17,CA $21.31
114,70784-1,CA $78.44,CA $32.08
115,70785-1,CA $62.83,CA $32.49
116,70786-1,CA $98.94,CA $45.73
117,70787-1,CA $99.87,CA $43.65
118,70788-1,CA $93.67,CA $41.04
119,70789-1,CA $78.41,CA $37.72
120,70790-1,CA $41.99,CA $23.69
121,7079-1,CA $265.62,CA $145.25
122,70791-1,CA $77.86,CA $25.98
123,70792-1,CA $69.82,CA $19.23
124,70793-1,CA $52.02,CA $17.94
125,70794-1,CA $40.08,CA $16.64
126,70795-1,CA $109.80,CA $67.22
127,70800-1,CA $28.79,CA $14.85
128,7080-1,CA $18.44,CA $7.92
129,70801-1,CA $33.58,CA $14.25
130,70802-1,CA $55.62,CA $29.79
131,70803-1,CA $44.80,CA $22.19
132,70804-1,CA $56.67,CA $32.83
133,70805-1,CA $83.40,CA $31.93
134,70806-1,CA $50.18,CA $32.44
135,70807-1,CA $119.73,CA $65.21
136,70808-1,CA $95.11,CA $45.46
137,70809-1,CA $126.58,CA $78.58
138,708-1,-,CA $17.26
139,70810-1,CA $588.33,CA $394.02
140,7081-1,CA $17.84,CA $4.71
141,70811-1,CA $54.28,CA $33.80
142,70812-1,CA $69.95,CA $40.77
143,70813-1,CA $124.71,CA $86.04
144,70814-1,CA $201.22,CA $97.43
145,70815-1,CA $150.54,CA $102.36
146,70816-1,CA $223.54,CA $123.17
147,70817-1,CA $28.51,CA $16.18
148,70818-1,CA $54.49,CA $29.13
149,70819-1,CA $80.35,CA $42.34
150,70820-1,CA $67.21,CA $26.02
151,7082-1,CA $22.07,CA $9.02
152,70821-1,CA $26.68,CA $16.13
153,70822-1,CA $13.09,CA $10.02
154,70823-1,CA $20.19,CA $12.92
155,70824-1,CA $23.54,CA $18.86
156,70825-1,CA $45.64,-
157,70826-1,CA $41.14,CA $21.91
158,70827-1,CA $37.87,CA $14.69
159,70828-1,CA $102.68,-
160,70829-1,CA $67.18,CA $48.06
161,70830-1,CA $82.13,CA $37.94
162,70831-1,CA $89.02,CA $94.48
163,70832-1,CA $36.74,CA $19.27
164,70833-1,CA $38.57,CA $19.27
165,70834-1,CA $90.66,CA $51.37
166,70835-1,CA $139.25,CA $93.68
167,70836-1,CA $26.79,CA $33.00
168,70837-1,CA $76.86,-
169,70838-1,CA $130.64,-
170,70839-1,CA $240.88,-
171,70840-1,CA $780.09,CA $538.29
172,70841-1,CA $18.86,CA $23.12
173,70842-1,CA $52.81,CA $15.41
174,70847-1,CA $30.70,-
175,70848-1,CA $24.80,CA $23.76
176,70849-1,CA $60.50,-
177,70900-1,CA $26.10,CA $16.31
178,7090-1,CA $44.15,CA $22.24
179,70901-1,CA $36.20,CA $19.14
180,70902-1,CA $31.03,CA $23.54
181,70903-1,CA $46.95,CA $22.95
182,70904-1,CA $49.02,CA $30.31
183,70905-1,CA $102.05,CA $47.93
184,70906-1,CA $92.84,CA $56.72
185,70907-1,CA $91.90,CA $54.59
186,70908-1,CA $118.02,CA $71.92
187,70909-1,CA $183.52,CA $96.18
188,709-1,-,CA $34.32
189,70910-1,CA $39.80,CA $24.83
190,7091-1,CA $41.09,CA $40.21
191,70911-1,CA $86.40,CA $44.58
192,70912-1,CA $291.67,CA $191.13
193,70913-1,CA $30.97,CA $15.64
194,70914-1,CA $73.42,CA $52.74
195,70915-1,CA $89.33,CA $41.72
196,70916-1,CA $132.55,CA $87.04
197,70917-1,CA $254.39,CA $210.36
198,70918-1,CA $35.14,CA $30.59
199,70919-1,CA $49.62,CA $15.20
200,70920-1,CA $49.38,CA $46.54
201,7092-1,CA $123.26,CA $54.69
202,70921-1,CA $62.16,CA $23.65
203,70922-1,CA $784.02,CA $482.54
204,70923-1,CA $153.82,CA $32.73
205,7093-1,CA $432.69,CA $188.29
206,7094-1,CA $593.38,CA $247.60
207,7097-1,CA $438.28,CA $247.62
208,7099-1,CA $51.05,-
209,71000-1,CA $62.66,-
210,71000-2,CA $256.79,CA $186.72
211,71001-1,CA $93.34,CA $172.10
212,71001-2,CA $259.04,CA $269.92
213,71002-1,CA $55.29,-
214,71002-2,CA $232.69,CA $170.11
215,71004-1,CA $42.96,CA $133.31
216,71004-2,CA $180.46,CA $143.62
217,71005-1,CA $68.33,CA $130.43
218,71005-2,CA $145.44,CA $113.97
219,71006-1,CA $581.20,CA $416.87
220,71007-1,CA $85.13,-
221,71007-2,CA $137.67,CA $116.07
222,71008-1,CA $66.88,CA $6.58
223,71008-2,CA $117.29,CA $105.99
224,71009-1,CA $42.29,-
225,71009-2,CA $108.71,CA $90.57
226,710-1,-,CA $55.93
227,71010-1,CA $33.38,-
228,71010-2,CA $111.24,CA $88.64
229,7101-1,CA $89.85,CA $42.35
230,71011-1,CA $36.81,CA $97.41
