,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
3659,3605-2,Birthday Party,,Normal,Pre-school,Explore,Together,2002,View tags »BalloonsBirthday ,8,£4.99 / $4.00,"
New: ~CA$18
Used:
",62.4p / 50.0c,,,,,,Not yet rated,2,,,,,
3660,3606-1,Go-Kart Transport,,Normal,Pre-school,Explore,Together,2002,View tags »Go KartTow Truck ,4,£4.99 / $4.00,"
New: 
Used:
",124.8p / 100.0c,,,,,,Not yet rated,1,,,,,
3661,3607-1,Police Action,,Normal,Pre-school,Explore,Together,2002,View tags »MotorcyclePolice ,7,£4.99 / $4.00,"
New: ~CA$17
Used:
",71.3p / 57.1c,,,,,,Not yet rated,1,,,,,
3662,3608-1,Playground,,Normal,Pre-school,Explore,Together,2002,View tags »DogPlaygroundSwing ,19,£17.99,"
New: ~CA$58
Used: ~CA$22
",94.7p,,,,,,Not yet rated,4,,,,,
3663,3609-1,Beach House,,Normal,Pre-school,Explore,Together,2002,View tags »BeachHouse ,8,£4.99,"
 New: ~CA$23
Used: ~CA$36
",62.4p,,,,,,Not yet rated,1,,,,,
3664,3610-1,Campsite,,Normal,Pre-school,Explore,Together,2002,View tags »BoatCampingFishTent ,8,£4.99 / $6.00,"
New: ~CA$23
Used: ~CA$20
",62.4p / 75.0c,,,,,,Not yet rated,1,,,,,
3665,361-1,Tea Garden Cafe,Garage,Normal,Vintage,LEGOLAND,Town,1974,View tags »BaseplateDelivery TruckRestaurant ,209,£2.45,"
New: 
Used: ~CA$37
",1.2p,,Box,,Retail,Released january 1974 in the UK., 5 Reviews,,,,,,
3666,3611-1,Road Worker Truck,,Normal,Pre-school,Explore,Together,2002,View tags »CraneDump TruckDuplo ,13,£9.99 / $10.00,"
New: ~CA$31
Used: ~CA$13
",76.8p / 76.9c,,,,,,Not yet rated,1,,,,,
3667,361-2,Garage,,Normal,Modern day,Town,Classic,1979,View tags »Baseplate ,79,,"
New: 
Used: ~CA$75
",,,Box,,Retail,,✭✭✭✭✩ 4.0 49 ratings 11 Reviews,1,,,,,
3668,3612-1,Wild Animals,,Normal,Pre-school,Explore,Logic,2002,View tags »CameraCarCrocodileDuploElephantJungle BridgeMonkeyPlaymatTentTiger ,33,£29.99 / $20.00,"
New: ~CA$75
Used: ~CA$22
",90.9p / 60.6c,,,,,,Not yet rated,2,,,,,
3669,361-3,Tow Truck Kit,,Normal,Vintage,Samsonite,Model Maker,1971,View tags »Tow TruckTruck ,24,,"
New: 
Used: ~CA$25
",,,Box,12.7 x 10.2 x 2.5 cm (5 x 4 x 1 in),Retail,USA/Canada only.US version of 601-2 ,Not yet rated,,,,,,
3670,3613-1,Fire Rescue,,Normal,Pre-school,Explore,Logic,2002,View tags »FireFire TruckTruck ,20,£17.99 / $18.00,"
New: ~CA$38
Used: ~CA$31
",90.0p / 90.0c,,,,,,Not yet rated,2,,,,,
3671,3614-1,Racing,,Normal,Pre-school,Explore,Logic,2002,View tags »Racing Car ,33,£29.99 / $25.00,"
New: ~CA$73
Used:
",90.9p / 75.8c,,,,,,Not yet rated,3,,,,,
3672,3615-1,Percy Pig,,Normal,Junior,Fabuland,,1981,View tags »,4,,"
New: 
Used: ~CA$8
",,,,,,,Not yet rated,1,,,,,
3673,3615-2,Theatre Stories,,Normal,Pre-school,Explore,Imagination,2002,View tags »DragonFrog ,45,£34.99 / $30.00,"
New: ~CA$141
Used: ~CA$104
",77.8p / 66.7c,,,,,,Not yet rated,5,,,,,
3674,3616-1,On the Move Police Station,,Normal,Pre-school,Explore,Being Me,2002,View tags »CameraDuploPolicePolice Station ,14,£24.99 / $20.00,"
New: ~CA$60
Used: ~CA$32
",178.5p / 142.9c,,,,,,Not yet rated,3,,,,,
3675,3617-1,On the Move Hospital,,Normal,Pre-school,Explore,Being Me,2002,View tags »CarDuploHospitalMedicalX Ray ,16,£24.99 / $20.00,"
New: ~CA$75
Used:
",156.2p / 125.0c,,,,,,Not yet rated,3,,,,,
3676,3618-1,Family Farm,,Normal,Pre-school,Explore,Logic,2002,View tags »CowDogFarmFresh ProduceHorsePigPlaymatSheepTractor ,53,£59.99 / $50.00,"
New: ~CA$100
Used:
",113.2p / 94.3c,,,,,, 2 Reviews,3,,,,,
3677,3619-1,Traffic Town,,Normal,Pre-school,Explore,Together,2002,View tags »AircraftAmbulanceCarDuploHelicopterLanding PadMotorcycleOctanPedestrian CrossingPlaymatPropeller AircraftService StationService VehicleSlideTow Truck ,75,£59.99 / $50.00,"
New: ~CA$107
Used: ~CA$83
",80.0p / 66.7c,,,,,,Not yet rated,7,,,,,
3678,3620-1,Playhouse,,Normal,Pre-school,Explore,Together,2002,View tags »BathroomBedroomDuploHouseKitchenPlaymatSwing ,82,£49.99 / $50.00,"
New: ~CA$121
Used: ~CA$113
",61.0p / 61.0c,,,,,,Not yet rated,4,,,,,
3679,362-1,Windmill,,Normal,Vintage,LEGOLAND,,1975,View tags »BaseplateHousePickup TruckWindmill ,215,,"
New: 
Used: ~CA$58
",,,,,,European version of 550-2 , 2 Reviews,2,,, Daniel August Krentz ,,
3680,3621-1,Polar Animals,,Normal,Pre-school,Explore,Logic,2002,View tags »AirplaneCameraPenguinPropeller AircraftTent ,29,£29.99 / $25.00,"
New: ~CA$95
Used: ~CA$89
",103.4p / 86.2c,,,,,,Not yet rated,2,,,,,
3681,3622-1,Rowboat with Lionel Lion and Hannah Hippopotamus,Rowboat,Normal,Junior,Fabuland,,1988,View tags »BoatRowing Boat ,12,,"
New: ~CA$113
Used: ~CA$24
",,,,,,,Not yet rated,2,,,,,
3682,3623-1,Beauty Salon,Beauty Salon,Normal,Junior,Fabuland,,1988,View tags »Shop ,24,,"
New: ~CA$189
Used: ~CA$23
",,,,,,,Not yet rated,2,,,,,
3683,3624-1,Flower Car,Pick Up Truck,Normal,Junior,Fabuland,,1985,View tags »Pickup Truck ,19,,"
New: 
Used: ~CA$13
",,,,,,,Not yet rated,1,,,,,
3684,3625-1,Sandy Seagull's Aeroplane,Aeroplane,Normal,Junior,Fabuland,,1985,View tags »AircraftPropeller Aircraft ,8,$5.25,"
New: ~CA$129
Used: ~CA$19
",65.6c,,,,,Same as 3630-1 ,Not yet rated,1,,,,,
3685,3626-1,Roger Racoon and his Sports Car,Roger Racoon With Sports Car,Normal,Junior,Fabuland,,1983,View tags »CarConvertible ,16,,"
New: ~CA$70
Used: ~CA$25
",,,,,,,Not yet rated,1,,,,,
3686,3627-1,Bonnie Bunny ,Bonnie Rabbit,Normal,Junior,Fabuland,,1983,View tags »Car ,18,,"
New: ~CA$132
Used: ~CA$18
",,,,,,,Not yet rated,1,,,,,
3687,3628-1,Perry Panda and Chester Chimp,Window Cleaners,Normal,Junior,Fabuland,,1981,View tags »Motorcycle ,3,,"
New: ~CA$70
Used: ~CA$25
",,,,,,, 1 Review,2,,,,,
3688,3629-1,Barney Bear,Bruno Bear's Car,Normal,Junior,Fabuland,,1981,View tags »Car ,16,,"
New: ~CA$66
Used: ~CA$15
",,,,,,,Not yet rated,1,,,,,
3689,3630-1,Percy Pilot,Aeroplane,Normal,Junior,Fabuland,,1984,View tags »AircraftPropeller Aircraft ,8,,"
New: 
Used: ~CA$20
",,,,,,Same as 3625-1 ,Not yet rated,1,,,,,
3690,363-1,Hospital,,Normal,Vintage,LEGOLAND,,1975,View tags »AmbulanceBaseplateDisabilityHospitalMedical ,229,£3.75,"
New: ~CA$427
Used: ~CA$74
",1.6p,,Box,,Retail,Released May 1975 in the UK.European version of 555-1 ,✭✭✭✭✩ 4.1 17 ratings 3 Reviews,7,,, Jens Nygaard Knudsen ,,
3691,3631-1,The Fabuland Big Band Peter Pig and Gabriel Gorilla,Band,Normal,Junior,Fabuland,,1985,View tags »BaseplateMusical ,30,$5.25,"
New: ~CA$97
Used: ~CA$30
",17.5c,,,,,,Not yet rated,2,,,,,
3692,3633-1,Motor Boat with Walter Walrus,Captain Walrus In His Motor Boat,Normal,Junior,Fabuland,,1986,View tags »Boat ,13,$5.25,"
New: ~CA$78
Used: ~CA$18
",40.4c,,,,,,Not yet rated,1,,,,,
3693,3634-1,Charlie Crow's Carry-All,Dustcart - Joe Crow Keeps Fabuland Clean And Tidy,Normal,Junior,Fabuland,,1980,View tags »CarPickup Truck ,17,,"
New: ~CA$152
Used: ~CA$16
",,,,,,, 1 Review,1,,,,,
3694,3635-1,Bonnie Bunny's Camper,Mobile Home,Normal,Junior,Fabuland,,1981,View tags »CamperCamper VanCar ,25,,"
New: ~CA$159
Used: ~CA$25
",,,,,,, 2 Reviews,1,,,,,
3695,3636-1,Lucy Lamb's Bedroom,Lucy Lamb In Her Bedroom,Normal,Junior,Fabuland,,1987,View tags »BaseplateBedroomFurniture ,21,,"
New: ~CA$154
Used: ~CA$24
",,,,,,, 1 Review,1,,,,,
3696,3637-1,Gertrude Goat the painter,Gertrude Goat,Normal,Junior,Fabuland,,1983,View tags »CarPickup Truck ,14,,"
New: ~CA$142
Used: ~CA$48
",,,,,,,Not yet rated,1,,,,,
3697,3638-1,Fire Engine,Buster Bulldog,Normal,Junior,Fabuland,,1983,View tags »Fire Truck ,17,,"
New: 
Used: ~CA$21
",,,,,,Random set of the day on ,Not yet rated,1,,,,,
3698,3639-1,Paddy Wagon,Police Van,Normal,Junior,Fabuland,,1984,View tags »PolicePolice CarPrisoner Transport ,9,,"
New: 
Used: ~CA$18
",,,,,,Same as 3643-1 ,Not yet rated,2,,,,,
3699,364-1,Harbour,,Normal,Vintage,LEGOLAND,,1975,View tags »BaseplateCargo ShipCranePickup TruckPolicePolice BoatPolice StationTruck ,518,£8.85,"
New: 
Used: ~CA$250
",1.7p,,Box,,Retail,Released May 1975 in the UK.,Not yet rated,7,,,,,
3700,3641-1,Car and Camper,Poodles Camper,Normal,Junior,Fabuland,,1985,View tags »CamperCarCaravanTrailer ,22,$6.55,"
New: ~CA$152
Used: ~CA$24
",29.8c,,,,,Random set of the day on 18 Apr 2020,Not yet rated,1,,,,,
3701,3642-1,Fire Engine,Fire Engine,Normal,Junior,Fabuland,,1985,View tags »Fire Truck ,18,,"
New: ~CA$87
Used: ~CA$25
",,,,,,,Not yet rated,1,,,,,
3702,3643-1,Police Van,Police Car,Normal,Junior,Fabuland,,1985,View tags »PolicePolice CarPrisoner Transport ,9,$6.55,"
New: ~CA$162
Used: ~CA$21
",72.8c,,,,,Same as 3639-1 ,Not yet rated,2,,,,,
3703,3644-1,Mike Monkey and his Taxi,Mayors Car,Normal,Junior,Fabuland,,1986,View tags »Taxi ,10,$6.55,"
New: ~CA$141
Used: ~CA$21
",65.5c,,,,,,Not yet rated,2,,,,,
3704,3645-1,School Room,Classroom,Normal,Junior,Fabuland,,1987,View tags »BaseplateBlackboardSchool ,24,,"
New: ~CA$171
Used: ~CA$24
",,,,,,,Not yet rated,3,,,,,
3705,3646-1,Catherine Cat in her Kitchen,Walrus & Cat In The Kitchen,Normal,Junior,Fabuland,,1988,View tags »FurnitureKitchen ,53,,"
New: ~CA$171
Used: ~CA$55
",,,,,,, 2 Reviews,2,,,,,
3706,3647-1,Lionel Lion's Classroom,Lionel Lion's Classroom,Normal,Junior,Fabuland,,1989,View tags »BaseplateBlackboardSchool ,42,,"
New: ~CA$353
Used: ~CA$26
",,,,,,, 1 Review,3,,,,,
3707,3648-1,Police Chase,,Normal,Modern day,City,Police,2011,View tags »CameraCarConvertibleMotor TricyclePolicePolice CarTraffic Light ,173,£18.99 / $24.99,"
New: ~CA$47
Used: ~CA$24
",11.0p / 14.4c,5 - 12,Box,,Retail - limited,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. ,✭✭✭✭✩ 3.9 50 ratings 7 Reviews,3,,EAN: 5702014730342, Henrik Andersen ,,
3708,3650-1,Stack 'n' Learn First Rollabout,,Normal,Pre-school,Explore,Being Me,2002,View tags »Primo ,6,£4.99 / $5.00,"
New: 
Used:
",83.2p / 83.3c,,,,,,Not yet rated,1,,,,,
3709,365-1,Wild West,,Normal,Vintage,LEGOLAND,,1975,View tags »BankBaseplateBrick Built AnimalsCarriageHorseHotelShopWild West ,602,£8.85,"
New: 
Used: ~CA$188
",1.5p,,Box,,Retail,Released May 1975 in the UK., 1 Review,8,,,,,
3710,3651-1,Stack 'n' Learn Friends,,Normal,Pre-school,Explore,Being Me,2002,View tags »Primo ,10,£9.99 / $10.00,"
New: 
Used:
",99.9p / 100.0c,,,,,,Not yet rated,2,,,,,
3711,365-2,"Basic Building Set, 3+",,Normal,Basic,Basic,,1990,View tags »,333,,"
New: ~CA$137
Used: ~CA$21
",,,Box with handle,,Retail,Medium red playcase with yellow building plates as lids.,Not yet rated,1,,,,,
3712,3654-1,Lisa Lamb's House,The Flower Garden,Normal,Junior,Fabuland,,1982,View tags »BaseplateHouse ,32,$10.00,"
New: ~CA$178
Used: ~CA$38
",31.3c,,,,,,Not yet rated,1,,,,,
3713,3655-1,Fire Action,,Normal,Pre-school,Explore,Together,2003,View tags »AircraftAirplaneFireFire TruckPropeller AircraftTruck ,11,£9.99,"
New: ~CA$69
Used: ~CA$15
",90.8p,,,,,,Not yet rated,2,,,,,
3714,3656-1,Police Action,,Normal,Pre-school,Explore,Together,2003,View tags »HelicopterJetskiMotorcyclePolicePolice BoatPolice HelicopterVan ,32,£24.99 / $40.00,"
New: ~CA$68
Used: ~CA$57
",78.1p / 125.0c,,,,,,Not yet rated,4,,,,,
3715,3657-1,Fire Fighters,,Normal,Pre-school,Explore,Together,2003,View tags »BoatDuploFireFire BoatFire HelicopterFire TruckHelicopterTanker VehicleTrailerTruck ,35,£37.99 / $40.00,"
New: 
Used:
",108.5p / 114.3c,,,,,,Not yet rated,4,,,,,
3716,3658-1,Police Helicopter,,Normal,Modern day,City,Police,2011,View tags »AircraftHelicopterPickup TruckPolicePolice Helicopter ,237,£26.99 / $34.99,"
New: ~CA$60
Used: ~CA$24
",11.4p / 14.8c,5 - 12,Box,,Retail - limited,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. ,✭✭✭✭✩ 3.9 43 ratings 3 Reviews,4,,EAN: 5702014730359,,,
3717,3659-1,Playground,Play Ground,Normal,Junior,Fabuland,,1987,View tags »BaseplateCarouselPlaygroundSwing ,16,,"
New: ~CA$208
Used: ~CA$30
",,,,,,,Not yet rated,2,,,,,
3718,3660-1,Fisherman's Wharf,Fishermans Cottage,Normal,Junior,Fabuland,,1985,View tags »BaseplateFishing BoatRowing Boat ,25,$11.00,"
New: ~CA$267
Used: ~CA$59
",44.0c,,,,,,Not yet rated,1,,,,,
3719,366-1,Basic Building Set,Basic Set From 3 Years,Normal,Basic,Basic,,1981,View tags »Brick Built AnimalsBrick Built FigureCrocodileHouse ,184,,"
New: ~CA$46
Used:
",,3 - 5,Box,,,,Not yet rated,2,,,,,
3720,3661-1,Bank & Money Transfer,,Normal,Modern day,City,Police,2011,View tags »AtmBankBaseplateMini ModularMotor BikeMotorcyclePolicePolice CarSafeVan ,405,£41.99 / $49.99,"
New: ~CA$94
Used: ~CA$60
",10.4p / 12.3c,5 - 12,Box,,Retail - limited,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from LEGO Shop At Home. ,✭✭✭✭✭ 4.3 129 ratings 21 Reviews,4,,UPC: 673419143318EAN: 5702014730366,,,
3721,3662-1,Double-Decker Bus,Double Decker Bus,Normal,Junior,Fabuland,,1987,View tags »BusLamppostPublic Transport ,32,,"
New: ~CA$152
Used: ~CA$74
",,,,,,, 1 Review,2,,,,,
3722,3663-1,Merry-Go-Round,Max Mouse's Merry Go-Round,Normal,Junior,Fabuland,,1989,View tags »BaseplateCarouselFairgroundMotorcycle ,23,,"
New: ~CA$151
Used: ~CA$67
",,,,,,,Not yet rated,2,,,,,
3723,3664-1,Bertie Bulldog (Police Chief) and Constable Bulldog,Police Station,Normal,Junior,Fabuland,,1984,View tags »BaseplateMotorcyclePolicePolice Station ,63,,"
New: 
Used: ~CA$29
",,,,,,, 1 Review,2,,,,,
3724,3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,Ice Cream Shop - Harry Horse Helps Clara Cow,Normal,Junior,Fabuland,,1980,View tags »Frozen TreatsShopStreet Vendor ,36,,"
New: ~CA$492
Used: ~CA$55
",,,,,,, 1 Review,2,,,,,
3725,3666-1,Billy Bear and Mortimer Mouse's Service Station,The Lazy Mouse,Normal,Junior,Fabuland,,1982,View tags »BaseplateMotor TricycleService StationService VehicleTow Truck ,28,,"
New: 
Used: ~CA$79
",,,,,,Random set of the day on 25 Mar 2020,Not yet rated,2,,,,,
3726,3667-1,Pat and Freddy's Shop,The Tasty Bread,Normal,Junior,Fabuland,,1982,View tags »BaseplateShop ,58,,"
New: 
Used: ~CA$98
",,,,,,, 1 Review,2,,,,,
3727,3668-1,Merry-Go-Round with Ticket Booth,Merry-Go Round,Normal,Junior,Fabuland,,1986,View tags »BaseplateCarouselFairground ,42,$17.75,"
New: ~CA$284
Used: ~CA$68
",42.3c,,,,,,Not yet rated,3,,,,,
3728,3669-1,Fire Station,The Naughty Racoon,Normal,Junior,Fabuland,,1982,View tags »BaseplateCameraFire CarFire StationMotor TricycleMotorcycle ,33,,"
New: ~CA$380
Used: ~CA$53
",,,,,,,Not yet rated,3,,,,,
3729,3670-1,Service Station,Service Station,Normal,Junior,Fabuland,,1984,View tags »BaseplateMotorcycleService StationService VehicleTow Truck ,52,$20.00,"
New: 
Used: ~CA$88
",38.5c,,,,,,Not yet rated,2,,,,,
3730,367-1,Space Module with Astronauts,,Normal,Vintage,LEGOLAND,,1975,View tags »Brick Built FigureGround VehicleNASASpaceUSA ,364,£3.95,"
New: 
Used: ~CA$162
",1.1p,,Box,,Retail,Released January 1975 in the UK.European version of 565-1 , 2 Reviews,,,, Jens Nygaard Knudsen ,,
3731,3671-1,Airport,Airport,Normal,Junior,Fabuland,,1984,View tags »AircraftAirportBiplanePropeller AircraftRoad Baseplate ,49,$22.25,"
New: ~CA$251
Used: ~CA$125
",45.4c,,,,,Random set of the day on 19 Mar 2020,Not yet rated,3,,,,,
3732,367-2,Mini Airport and Vehicle,,Normal,Vintage,Samsonite,Model Maker,1970,View tags »AircraftAirplaneAirportRoad BaseplateTrailerTruck ,233,,"
New: 
Used:
",,,Box,,,NA only. Same as 5-5.,Not yet rated,,,,,,
3733,3672-1,The Motel,The Cooking Contest,Normal,Junior,Fabuland,,1982,View tags »BaseplateHotel ,60,,"
New: 
Used: ~CA$97
",,,,,,, 1 Review,3,,,,,
3734,3673-1,Paddle Steamer,Steamboat,Normal,Junior,Fabuland,,1985,View tags »Boat ,61,$20.00,"
New: ~CA$261
Used: ~CA$99
",32.8c,,,,,,Not yet rated,3,,EAN: 5702010936731,,,
3735,3674-1,Bonny Bunny's New House,Bonnie Bunny's New House,Normal,Junior,Fabuland,,1987,View tags »BaseplateHouseMotorcycle ,44,$14.75,"
New: ~CA$302
Used: ~CA$62
",33.5c,,,,,,Not yet rated,2,,,,,
3736,3675-1,General Store,General Store,Normal,Junior,Fabuland,,1987,View tags »BaseplateCarService StationStore ,103,,"
New: ~CA$697
Used: ~CA$103
",,,,,,,Not yet rated,3,,,,,
3737,3676-1,Cathy Cat's Fun Park,Cathy Cat's Fun Park,Normal,Junior,Fabuland,,1989,View tags »BaseplateCarouselFairgroundPlaygroundSlideSwing ,43,,"
New: 
Used: ~CA$89
",,,,,,Random set of the day on 24 Oct 2020,Not yet rated,4,,,,,
3738,3677-1,Red Cargo Train,,Normal,Modern day,City,Trains,2011,View tags »Conveyor BeltCraneDiesel LocomotiveElectricElectric MotorFreight TrainOctanPower FunctionsRailway MaintenanceRemote ControlService VehicleSpecial EditionTrackTrackside StructureTrain TrackTruck ,831,£139.99 / $159.99,"
New: ~CA$391
Used: ~CA$274
",16.8p / 19.3c,6 - 12,Box,,Retail - limited,An exclusive release set in many countries and not shown in the general consumer catalogue; also available from Shop At Home.,✭✭✭✭✩ 4.0 69 ratings 2 Reviews,4,,UPC: 673419150651EAN: 5702014759640, Pierre Normandin ,,NA: 4623315EU: 4620684
3739,3678-1,Lionel Lion's Lodge,The Noisy Neighbours,Normal,Junior,Fabuland,,1982,View tags »BaseplateCar ,123,,"
New: 
Used: ~CA$204
",,,,,,,Not yet rated,4,,,,,
3740,3679-1,Flour Mill and Shop,Mill With Shop,Normal,Junior,Fabuland,,1986,View tags »BaseplateCarLamppostShopWindmill ,73,$26.75,"
New: ~CA$380
Used: ~CA$67
",36.6c,,,,,,Not yet rated,2,,,,,
3741,3680-1,Caravan and Rowboat,Camping In New Caravan,Normal,Junior,Fabuland,,1988,View tags »BoatCamperCarCaravanFishing BoatKitchenRowing BoatTrailer ,27,,"
New: ~CA$330
Used: ~CA$112
",,,,,,,Not yet rated,3,,,,,
3742,368-1,Taxi Garage,Taxi Garage,Normal,Vintage,LEGOLAND,,1976,View tags »BaseplateCross PromotionShellTaxi ,156,,"
New: 
Used: ~CA$30
",,,,,,, 2 Reviews,2,,,,,
3743,3681-1,Amusement Park,Fairground,Normal,Junior,Fabuland,,1985,View tags »BaseplateCarouselFairgroundFerris Wheel ,99,$33.35,"
New: 
Used: ~CA$171
",33.7c,,,,,,Not yet rated,4,,,,,
3744,3682-1,Fire Station,Fire Station,Normal,Junior,Fabuland,,1987,View tags »BaseplateFire CarFire StationFire TruckLamppostMapSlide ,149,$39.75,"
New: ~CA$757
Used: ~CA$159
",26.7c,,,,,,Not yet rated,3,,,,,
3745,3683-1,Amusement Park,Amusement Park,Normal,Junior,Fabuland,,1988,View tags »BaseplateCarouselFairgroundFerris WheelMotorcycleRowing BoatSlide ,93,,"
New: ~CA$736
Used: ~CA$201
",,,,,,, 1 Review,4,,,,,
3746,369-1,Coast Guard Station,Coastguard,Normal,Vintage,LEGOLAND,Building,1976,View tags »AircraftBaseplateCoast GuardHelicopterLanding PadPropeller Aircraft ,275,,"
New: ~CA$1042
Used: ~CA$45
",,,,,,European version of 575-1 ,Not yet rated,5,,,,,
3747,3695-1,Figure collection,,Normal,Junior,Fabuland,,1982,View tags »,,,"
New: 
Used:
",,,,,,Exact contents and availability not known. It could possibly have been a promotional or shop display set.,Not yet rated,80,,,,,
3748,3700-1,Emergency Vehicles Set,,Collection,Pre-school,Explore,Together,2003,View tags »CarConstructionFire TruckFront LoaderPolicePolice CarPrimoTruck ,9,£14.99,"
New: 
Used:
",166.6p,,,,,Contains 3697-1 3698-1 Included in 3699-1 ,Not yet rated,3,,,,,
3749,370-1,Police Headquarters,Police Headquarters,Normal,Vintage,LEGOLAND,Building,1976,View tags »AircraftBaseplateCarHelicopterLanding PadMotorcyclePolicePolice CarPolice HelicopterPolice StationPropeller Aircraft ,280,,"
New: 
Used: ~CA$60
",,,,,,European version of 585-1 ,Not yet rated,4,,,,,
3750,3701-1,Charlie Cat the fisherman,Fisherman,Normal,Junior,Fabuland,,1982,View tags »,2,$1.50,"
New: ~CA$15
Used: ~CA$9
",75.0c,,,,,, 2 Reviews,1,,,,,
3751,3703-1,Peter Pig the Cook,Cook,Normal,Junior,Fabuland,,1982,View tags »,2,,"
New: ~CA$37
Used: ~CA$7
",,,,,,, 1 Review,1,,,,,
3752,3704-1,Marjorie Mouse,Housekeeper,Normal,Junior,Fabuland,,1982,View tags »,2,$1.50,"
New: 
Used: ~CA$9
",75.0c,,,,,,Not yet rated,1,,,,,
3753,3706-1,Ernie Elephant,Street Sweeper,Normal,Junior,Fabuland,,1982,View tags »,2,,"
New: ~CA$25
Used: ~CA$8
",,,,,,, 2 Reviews,1,,,,,
3754,3707-1,Clara Cow,Gardener,Normal,Junior,Fabuland,,1982,View tags »,2,,"
New: ~CA$57
Used: ~CA$10
",,,,,,, 1 Review,1,,,,,
3755,3708-1,Rufus Rabbit,Baker's Boy,Normal,Junior,Fabuland,,1982,View tags »,3,,"
New: ~CA$60
Used: ~CA$9
",,,,,,, 2 Reviews,1,,,,,
3756,3709-1,Henry Horse the carpenter,Henry Horse,Normal,Junior,Fabuland,,1983,View tags »,2,,"
New: ~CA$27
Used: ~CA$10
",,,,,,,Not yet rated,1,,,,,
3757,3710-1,Patrick Panda,Peter Panda,Normal,Junior,Fabuland,,1983,View tags »,2,,"
New: ~CA$27
Used: ~CA$9
",,,,,,,Not yet rated,1,,,,,
3758,371-1,Tipper Truck,Sea Plane,Normal,Vintage,LEGOLAND,Vehicle,1971,View tags »Tipper TruckTruck ,48,£0.88 / $14.00,"
New: 
Used: ~CA$70
",1.8p / 29.2c,,Box,,Retail,,Not yet rated,,,,,,
3759,3711-1,Tubby and Tuba,Tuba Player,Normal,Junior,Fabuland,,1984,View tags »Musical ,4,,"
New: 
Used: ~CA$11
",,,,,,,Not yet rated,1,,,,,
3760,371-2,Motorized Truck Set,,Normal,Vintage,Samsonite,Model Maker,1967,View tags »Articulated LorryElectricElectric MotorTow TruckTrailerTruck ,325,$12.99,"
New: 
Used:
",4.0c,,Box,,Retail - limited,USA only. Sears exclusive. Came in plain brown mailer box. This set came with parts to also build the red Tow Truck.,Not yet rated,,,,,,
3761,3712-1,Robby Rabbit,Accordion Player,Normal,Junior,Fabuland,,1984,View tags »Musical ,4,,"
New: 
Used: ~CA$12
",,,,,,,Not yet rated,1,,,,,
3762,371-3,Sea Plane,,Normal,Vintage,LEGOLAND,Town,1977,View tags »AircraftAirplaneBoatPropeller AircraftSeaplane ,47,,"
New: 
Used: ~CA$35
",,,,,,European version of 712-1 , 4 Reviews,2,,,,,
3763,3713-1,Mike Monkey,Drummer,Normal,Junior,Fabuland,,1984,View tags »Musical ,7,,"
New: 
Used: ~CA$25
",,,,,,,Not yet rated,1,,,,,
3764,3714-1,Workman and Barrow,Bricklayer,Normal,Junior,Fabuland,,1985,View tags »,6,$2.25,"
New: 
Used: ~CA$13
",37.5c,,,,,,Not yet rated,1,,,,,
3765,3715-1,Hannah's Flower Stand,Hippo With Flower Stand,Normal,Junior,Fabuland,,1985,View tags »,14,$2.25,"
New: ~CA$57
Used: ~CA$20
",16.1c,,,,,,Not yet rated,1,,,,,
3766,3716-1,Telephone,Fox At Office,Normal,Junior,Fabuland,,1985,View tags »,8,$2.25,"
New: ~CA$132
Used: ~CA$12
",28.1c,,,,,,Not yet rated,1,,,,,
3767,3717-1,Mouse in a Tub Fishing,Angler,Normal,Junior,Fabuland,,1985,View tags »,9,,"
New: ~CA$89
Used: ~CA$14
",,,,,,,Not yet rated,1,,,,,
3768,3718-1,Outdoor Cafe with Bonnie Bunny,Outdoor Café,Normal,Junior,Fabuland,,1986,View tags »,6,$2.25,"
New: ~CA$42
Used: ~CA$15
",37.5c,,,,,,Not yet rated,1,,,,,
3769,3719-1,Bus Stop with Maximilian Mouse,Bus Stop,Normal,Junior,Fabuland,,1987,View tags »Lamppost ,5,,"
New: ~CA$62
Used: ~CA$7
",,,,,,,Not yet rated,1,,,,,
3770,372-1,Texas Rangers,Texas Rangers,Normal,Basic,Universal Building Set,,1977,View tags »Brick Built AnimalsCactusHorseTexasUSAWild West ,249,,"
New: ~CA$254
Used: ~CA$122
",,,,,,, 1 Review,,,, Daniel August Krentz ,,
3771,3721-1,Clive Crocodile on his Skateboard,Crocodile On Skateboard,Normal,Junior,Fabuland,,1988,View tags »,10,,"
New: ~CA$40
Used: ~CA$9
",,,,,,,Not yet rated,1,,,,,
3772,372-2,Tow Truck,,Normal,Vintage,LEGOLAND,Vehicle,1971,View tags »Tow Truck ,54,£0.95,"
New: 
Used: ~CA$31
",1.8p,,Box,,Retail,,Not yet rated,,,,,,
