,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
60,10004-1,2x2 Sand Red Bricks,Bulk Bricks,,2001,Retired,100  (PPP C$0.09),C$8.94,C$75.22,+741.34%,+11.87%
61,10005-1,2x4 Sand Red Bricks,Bulk Bricks,,2001,Retired,50  (PPP C$0.18),C$8.94,Unknown,,
62,10006-1,1x6 Sand Red Bricks,Bulk Bricks,,2001,Retired,50  (PPP C$0.18),C$8.94,C$77.99,+772.39%,+5.35%
63,10007-1,"2x4 Sand Red Ridge Roof Tiles, Steep Sloped",Bulk Bricks,,2001,Retired,25  (PPP C$0.26),C$6.38,C$12.89,+102.00%,+6.45%
64,10008-1,2x4 Sand Red Roof Bricks,Bulk Bricks,,2001,Retired,50  (PPP C$0.20),C$10.22,C$69.16,+576.72%,+10.59%
65,10009-1,Assorted Blue Bricks,Bulk Bricks,,2001,Retired,62  (PPP C$0.10),C$6.38,C$10.62,+66.33%,+2.72%
66,100-1,4.5V Motor with Wheels Small,Trains,4.5V,1966,Retired,16,,C$161.78,,
67,10010-1,Assorted Yellow Bricks,Bulk Bricks,,2001,Retired,62  (PPP C$0.10),C$6.38,C$14.09,+120.84%,+4.26%
68,10011-1,Assorted Blue Plates,Bulk Bricks,,2001,Retired,42  (PPP C$0.15),C$6.38,C$13.03,+104.21%,+3.83%
69,10012-1,Assorted Yellow Plates,Bulk Bricks,,2001,Retired,42  (PPP C$0.15),C$6.38,C$26.37,+313.23%,+7.76%
70,10013-1,Open Freight Wagon,Trains,9V,2001,Retired,121  (PPP C$0.18),C$21.73,C$91.88,+322.84%,+5.45%
71,10014-1,Caboose,Trains,9V,2001,Retired,170  (PPP C$0.11),C$19.17,C$123.79,+545.70%,+8.70%
72,10015-1,Green Passenger Wagon,Trains,9V,2001,Retired,194  (PPP C$0.13),C$25.57,C$111.81,+337.32%,+3.94%
73,10016-1,Tanker,Trains,9V,2001,Retired,128  (PPP C$0.20),C$25.57,C$157.84,+517.36%,+10.06%
74,10017-1,Hopper Wagon,Trains,9V,2001,Retired,228  (PPP C$0.11),C$25.57,C$115.62,+352.23%,+6.26%
75,10018-1,Darth Maul,Star Wars,Ultimate Collector Series,2001,Retired,"1,868  (PPP C$0.10)",C$191.84,"C$2,493.82",+1199.97%,+8.90%
76,10019-1,Rebel Blockade Runner,Star Wars,Ultimate Collector Series,2001,Retired,"1,747  (PPP C$0.15)",C$255.79,"C$2,061.33",+705.88%,+7.81%
77,100-2,4.5V Motor with Wheels Large,Trains,4.5V,1966,Retired,,C$8.31,C$202.79,+2339.23%,+6.10%
78,10020-1,Santa Fe Super Chief,Trains,9V,2002,Retired,435  (PPP C$0.12),C$51.15,C$611.37,+1095.32%,+9.57%
79,10021-1,USS Constellation,Hobby Set,,2003,Retired,973  (PPP C$0.08),C$76.73,C$306.58,+299.57%,+4.12%
80,10022-1,Santa Fe Cars Set II,Trains,9V,2002,Retired,411  (PPP C$0.11),C$44.75,C$638.94,+1327.72%,+8.49%
81,10023-1,Bionicle Master Builder Set,Bionicle,Accessories,2002,Retired,112  (PPP C$0.15),C$16.61,C$156.81,+843.80%,+10.78%
82,10024-1,Red Baron,Advanced Models,Aircraft,2002,Retired,664  (PPP C$0.10),C$63.94,C$594.20,+829.35%,+7.17%
83,10025-1,Santa Fe Cars Set I,Trains,9V,2002,Retired,326  (PPP C$0.14),C$44.75,C$381.58,+752.64%,+9.00%
84,10026-1,Special Edition Naboo Starfighter,Star Wars,Ultimate Collector Series,2002,Retired,187  (PPP C$0.27),C$51.15,C$959.10,+1775.17%,+9.16%
85,10027-1,Train Engine Shed,World City,Trains,2003,Retired,664  (PPP C$0.13),C$89.52,C$792.29,+785.07%,+7.68%
86,10029-1,Lunar Lander,Discovery,,2003,Retired,453  (PPP C$0.11),C$51.15,C$660.81,+1191.97%,+7.27%
87,10030-1,Imperial Star Destroyer,Star Wars,Ultimate Collector Series,2002,Retired,"3,096  (PPP C$0.11)",C$345.32,"C$2,262.22",+555.11%,+10.56%
88,10036-1,Pizza-To-Go,Town,Shops and Services,2002,Retired,151  (PPP C$0.17),C$25.57,C$166.17,+549.92%,+8.61%
89,10037-1,Breezeway Café,Town,Shops and Services,2002,Retired,183  (PPP C$0.16),C$29.40,C$217.15,+638.49%,+7.70%
90,10039-1,Black Falcon's Fortress,Castle,Black Falcons,2002,Retired,426  (PPP C$0.12),C$51.15,C$610.19,+1093.00%,+7.99%
91,10040-1,Black Seas Barracuda,Pirates,,2002,Retired,906  (PPP C$0.13),C$115.10,"C$2,197.78",+1809.50%,+13.25%
92,10041-1,Main Street,Town,Shops and Services,2003,Retired,616  (PPP C$0.13),C$83.14,C$377.27,+353.80%,+7.17%
93,10042-1,U.S. Flag,Bulk Bricks,Seasonal,2003,Retired,35  (PPP C$0.11),C$3.82,C$29.43,+669.57%,+9.48%
94,10043-1,2x2 Electrical Plate,Bulk Bricks,,2002,Retired,1  (PPP C$7.66),C$7.66,C$21.03,+174.46%,+5.77%
95,10044-1,Windows and Doors,Bulk Bricks,,2002,Retired,44  (PPP C$0.23),C$10.22,C$11.68,+14.27%,+2.81%
96,10045-1,Bridge Elements,Bulk Bricks,,2002,Retired,13  (PPP C$1.28),C$16.61,C$60.93,+266.74%,+7.49%
97,10046-1,Brown Tiles,Bulk Bricks,,2002,Retired,100  (PPP C$0.09),C$8.94,C$54.97,+514.88%,+10.62%
98,10047-1,Arch,Bulk Bricks,,2002,Retired,36  (PPP C$0.21),C$7.66,C$12.15,+58.60%,+3.43%
99,10048-1,Small Wheels and Axles,Bulk Bricks,,2002,Retired,61  (PPP C$0.17),C$10.22,C$22.37,+118.90%,+5.23%
100,10049-1,Large Wheels and Axles,Bulk Bricks,,2002,Retired,31  (PPP C$0.25),C$7.66,C$17.33,+126.21%,+4.64%
101,10050-1,Grey Fences,Bulk Bricks,,2002,Retired,34  (PPP C$0.23),C$7.66,C$28.18,+267.78%,+7.51%
102,10051-1,Small Windows,Bulk Bricks,,2002,Retired,50  (PPP C$0.18),C$8.94,C$20.14,+125.32%,+3.40%
103,10052-1,Intelligent Locomotive,Explore,,2003,Retired,4  (PPP C$17.58),C$70.33,Unknown,,
104,10053-1,Black Roof Tiles,Bulk Bricks,,2002,Retired,44  (PPP C$0.17),C$7.66,C$17.34,+126.38%,+4.65%
105,10054-1,Black Roof Tiles,Bulk Bricks,,2002,Retired,68  (PPP C$0.11),C$7.66,C$23.80,+210.68%,+6.51%
106,10055-1,Black Roof Tiles,Bulk Bricks,,2002,Retired,50  (PPP C$0.15),C$7.66,C$18.94,+147.25%,+5.16%
107,10056-1,White Plates,Bulk Bricks,,2002,Retired,56  (PPP C$0.11),C$6.38,C$17.47,+173.75%,+5.76%
108,10057-1,Black Plates,Bulk Bricks,,2002,Retired,56  (PPP C$0.11),C$6.38,C$17.25,+170.34%,+5.68%
109,10058-1,Red Plates,Bulk Bricks,,2002,Retired,56  (PPP C$0.11),C$6.38,C$12.78,+100.20%,+3.93%
110,10059-1,Dark Green Plates,Bulk Bricks,,2002,Retired,56  (PPP C$0.11),C$6.38,C$24.67,+286.57%,+7.81%
111,10060-1,Grey Plates,Bulk Bricks,,2002,Retired,56  (PPP C$0.11),C$6.38,C$16.50,+158.52%,+5.42%
112,10061-1,Black Plates,Bulk Bricks,,2002,Retired,84  (PPP C$0.08),C$6.38,C$18.21,+185.37%,+6.00%
113,10062-1,Red Plates,Bulk Bricks,,2002,Retired,84  (PPP C$0.08),C$6.38,C$8.95,+40.28%,+1.90%
114,10063-1,Dark Green Plates,Bulk Bricks,,2002,Retired,84  (PPP C$0.08),C$6.38,C$10.46,+63.93%,+1.84%
115,10064-1,Grey Plates,Bulk Bricks,,2002,Retired,84  (PPP C$0.08),C$6.38,C$25.34,+296.99%,+7.97%
116,10065-1,White Plates,Bulk Bricks,,2002,Retired,84  (PPP C$0.08),C$6.38,C$21.22,+232.46%,+6.91%
117,10066-1,Castle Accessories,Bulk Bricks,Castle,2002,Retired,37  (PPP C$0.17),C$6.38,C$26.41,+313.83%,+7.75%
118,10067-1,Mini-Fig Headgear,Bulk Bricks,,2002,Retired,53  (PPP C$0.12),C$6.38,C$27.97,+338.28%,+8.56%
119,10068-1,Santa,Seasonal,Christmas,2002,Retired,39  (PPP C$0.08),C$3.18,C$10.10,+217.27%,+8.19%
120,10069-1,Tree,Seasonal,Christmas,2002,Retired,33  (PPP C$0.10),C$3.18,C$10.23,+221.29%,+3.99%
121,10070-1,Reindeer,Seasonal,Christmas,2002,Retired,26  (PPP C$0.12),C$3.18,C$12.79,+301.61%,+5.23%
122,10071-1,Mr. Bunny,Seasonal,Easter,2003,Retired,25  (PPP C$0.13),C$3.18,C$12.79,+301.61%,+3.93%
123,10072-1,Technic Beams,Bulk Bricks,Technic,2003,Retired,56  (PPP C$0.23),C$12.78,C$31.98,+150.25%,+4.72%
124,10073-1,Technic Bushes,Bulk Bricks,Technic,2003,Retired,130  (PPP C$0.10),C$12.78,C$18.02,+41.04%,+2.77%
125,10074-1,Technic Cross Axles,Bulk Bricks,Technic,2003,Retired,68  (PPP C$0.19),C$12.78,C$22.98,+79.88%,+3.52%
126,10075-1,Spider-Man Action Pack,Studios,Spider-Man,2002,Retired,25  (PPP C$1.38),C$34.52,C$243.01,+603.96%,+5.44%
127,10076-1,Technic Gear Wheels,Bulk Bricks,Technic,2003,Retired,37  (PPP C$0.45),C$16.61,C$40.81,+145.65%,+5.43%
128,10077-1,Technic Motor,Bulk Bricks,Technic,2003,Retired,55  (PPP C$0.30),C$16.61,C$112.69,+578.29%,+11.93%
129,10078-1,Train Connection Wire,Trains,9V,2003,Retired,1  (PPP C$11.50),C$11.50,C$96.18,+736.48%,+11.08%
130,10079-1,Snowman,Seasonal,Christmas,2003,Retired,42  (PPP C$0.08),C$3.18,C$12.65,+297.19%,+9.05%
131,10080-1,Angel,Seasonal,Christmas,2003,Retired,33  (PPP C$0.10),C$3.18,C$23.07,+624.50%,+12.85%
132,10081-1,Heart Birthday Pack,Clikits,,2004,Retired,70  (PPP C$0.11),C$7.66,C$10.17,+32.72%,+1.79%
133,10082-1,Daisy Birthday Pack,Clikits,,2004,Retired,70  (PPP C$0.11),C$7.66,Unknown,,
134,10083-1,Star Birthday Pack,Clikits,,2004,Retired,70  (PPP C$0.11),C$7.66,Unknown,,
135,10090-1,Turkey,Seasonal,Thanksgiving,2003,Retired,54  (PPP C$0.08),C$4.46,C$15.35,+243.84%,+8.52%
136,,100 Stores Minifigure,Promotional,LEGO brand stores,2019,Retired,,Free promotional,C$60.98,,+3.77%
137,10106-1,LEGO Snowflake,Seasonal,Christmas,2006,Retired,105  (PPP C$0.10),C$10.22,C$48.17,+371.34%,+11.72%
138,101-1,4.5V Battery Case,Trains,4.5V,1969,Retired,,,C$50.33,,
139,1011-1,LEGO Number and Symbol Blocks,Dacta,,1976,Retired,100  (PPP C$0.41),C$40.92,Unknown,,
140,10111-1,Foliferous Tree,Bulk Bricks,,2001,Retired,10  (PPP C$0.77),C$7.66,C$33.55,+337.90%,+8.09%
141,10112-1,Bush,Bulk Bricks,,2001,Retired,25  (PPP C$0.36),C$8.94,C$27.29,+205.29%,+6.05%
142,10113-1,Cypress Tree,Bulk Bricks,,2001,Retired,5  (PPP C$1.28),C$6.38,C$243.16,+3710.02%,+11.36%
143,10114-1,2x2 Sand Red Roof Tile,Bulk Bricks,,2001,Retired,100  (PPP C$0.10),C$10.22,C$27.77,+171.71%,+5.41%
144,10115-1,Jumper Bricks,Bulk Bricks,,2001,Retired,80  (PPP C$0.08),C$6.38,C$20.60,+222.85%,+6.10%
145,10116-1,Heart Accessories,Clikits,,2004,Retired,50  (PPP C$0.13),C$6.38,C$19.17,+200.40%,+7.12%
146,10117-1,Daisy Accessories,Clikits,,2004,Retired,50  (PPP C$0.13),C$6.38,C$6.55,+2.61%,+0.16%
147,10118-1,Star Accessories,Clikits,,2004,Retired,50  (PPP C$0.13),C$6.38,C$19.45,+204.81%,+7.22%
148,101-2,Imagination Beginner Set 1,Samsonite,Basic Set,1971,Retired,290  (PPP C$0.02),C$6.33,C$921.95 Low accuracy,+14462.42%,
149,10121-1,NBA Basketball Teams,Sports,Basketball,2003,Retired,20  (PPP C$0.64),C$12.78,C$126.49,+889.99%,+6.17%
150,10123-1,Cloud City,Star Wars,Episode V,2003,Retired,698  (PPP C$0.18),C$127.89,"C$2,458.78",+1822.61%,+9.29%
151,10124-1,Wright Flyer,Advanced Models,Aircraft,2003,Retired,670  (PPP C$0.11),C$76.73,C$594.67,+675.05%,+7.56%
152,10127-1,NHL All Teams Set,Sports,Hockey,2003,Retired,59  (PPP C$0.19),C$11.50,C$51.03,+343.83%,+8.06%
153,10128-1,Train Level Crossing,World City,Trains,2003,Retired,327  (PPP C$0.20),C$63.94,C$286.02,+347.35%,+5.63%
154,10129-1,Rebel Snowspeeder,Star Wars,Ultimate Collector Series,2003,Retired,"1,455  (PPP C$0.11)",C$139.99,"C$1,547.59",+830.84%,+12.95%
155,101-3,4.5V Battery Case,Trains,4.5V,1966,Retired,1  (PPP C$3.01),C$3.01,Unknown,,
156,1013-1,Numbers 6 Symbols,Dacta,,1985,Retired,,,Unknown,,
157,10131-1,TIE Fighter Collection,Star Wars,Legends,2004,Retired,682  (PPP C$0.13),C$89.52,C$511.83,+471.77%,+7.91%
158,10132-1,Motorised Hogwarts Express,Harry Potter,Prisoner of Azkaban,2004,Retired,708  (PPP C$0.22),C$153.47,"C$1,519.12",+889.87%,+15.42%
159,10133-1,Burlington Northern Santa Fe BNSF Locomotive,Trains,9V,2005,Retired,407  (PPP C$0.13),C$51.15,C$511.50,+900.05%,+7.62%
160,10134-1,Y-wing Attack Starfighter,Star Wars,Ultimate Collector Series,2004,Retired,"1,473  (PPP C$0.10)",C$179.99,"C$1,181.17",+669.66%,+10.75%
161,10135-1,Holiday Decoration Kit,Clikits,Seasonal,2004,Retired,283  (PPP C$0.16),C$44.75,C$60.41,+34.98%,+1.89%
162,10143-1,Death Star II,Star Wars,Ultimate Collector Series,2005,Retired,"3,441  (PPP C$0.10)",C$345.32,"C$3,255.55",+842.77%,+10.16%
163,10144-1,Sandcrawler,Star Wars,Episode IV,2005,Retired,"1,669  (PPP C$0.11)",C$179.05,C$492.18,+174.89%,+6.95%
164,10145-1,Assorted Light Grey Bricks,Bulk Bricks,,2004,Retired,62  (PPP C$0.10),C$6.38,C$37.15,+482.16%,+5.63%
165,10146-1,Assorted Dark Grey Bricks,Bulk Bricks,,2004,Retired,63  (PPP C$0.10),C$6.38,C$24.86,+289.58%,+8.88%
166,10147-1,Assorted Brown Bricks,Bulk Bricks,,2004,Retired,62  (PPP C$0.10),C$6.38,C$18.58,+191.18%,+6.91%
167,10148-1,Assorted Light Grey Plates,Bulk Bricks,,2004,Retired,42  (PPP C$0.15),C$6.38,C$18.38,+187.98%,+6.84%
168,10149-1,Assorted Dark Grey Plates,Bulk Bricks,,2004,Retired,42  (PPP C$0.15),C$6.38,C$15.08,+136.27%,+5.52%
169,10150-1,Assorted Brown Plates,Bulk Bricks,,2004,Retired,42  (PPP C$0.15),C$6.38,C$29.99,+369.94%,+10.16%
170,10151-1,Hot Rod,Model Team,,2004,Retired,421  (PPP C$0.12),C$51.15,C$376.74,+636.58%,+9.91%
171,10152-1,Maersk Sealand Container Ship,Advanced Models,Maersk,2004,Retired,988  (PPP C$0.10),C$95.91,C$275.64,+187.38%,+3.95%
172,10153-1,Train Motor 9 V,Trains,9V,2002,Retired,3  (PPP C$10.65),C$31.96,C$140.92,+340.90%,+11.29%
173,10155-1,Maersk Line Container Ship,Advanced Models,Maersk,2010,Retired,990  (PPP C$0.16),C$139.99,C$289.44,+88.60%,+4.15%
174,10156-1,LEGO Truck,Town,Promotional,2004,Retired,105  (PPP C$0.18),C$19.17,C$63.95,+233.56%,+7.83%
175,10157-1,High Speed Train Locomotive,World City,Trains,2004,Retired,143  (PPP C$0.22),C$31.96,C$241.19,+654.62%,+8.08%
176,10158-1,High Speed Train Car,World City,Trains,2004,Retired,161  (PPP C$0.20),C$31.96,C$225.53,+605.60%,+7.50%
177,10159-1,City Airport,Town,Flight,2004,Retired,928  (PPP C$0.12),C$115.10,"C$1,087.00",+844.42%,+11.48%
178,10160-1,Black Ridge Tiles,Bulk Bricks,,2004,Retired,48  (PPP C$0.16),C$7.66,C$37.22,+385.81%,+10.39%
179,10161-1,Black Roof Tiles,Bulk Bricks,,2004,Retired,76  (PPP C$0.10),C$7.66,C$19.04,+148.58%,+5.86%
180,10162-1,Red Ridge Tiles,Bulk Bricks,,2004,Retired,48  (PPP C$0.16),C$7.66,C$21.28,+177.80%,+6.60%
181,10163-1,Red Roof Tiles,Bulk Bricks,,2004,Retired,76  (PPP C$0.10),C$7.66,C$18.98,+147.75%,+5.84%
182,10165-1,Elf Boy,Seasonal,Christmas,2004,Retired,27  (PPP C$0.12),C$3.18,C$11.37,+257.03%,+5.99%
183,10166-1,Elf Girl,Seasonal,Christmas,2004,Retired,31  (PPP C$0.10),C$3.18,C$23.19,+628.11%,+10.35%
184,10167-1,LEGO BrickMaster Welcome Kit,Creator,,2004,Retired,180,Free promotional,C$95.02,,+20.64%
185,10168-1,Mrs. Bunny,Seasonal,Easter,2005,Retired,61  (PPP C$0.08),C$5.10,C$15.03,+194.49%,+5.84%
186,10169-1,Chicken & Chicks,Seasonal,Easter,2005,Retired,57  (PPP C$0.09),C$5.10,C$12.79,+150.63%,+5.76%
187,10170-1,TTX Intermodal Double-Stack Car,Trains,9V,2005,Retired,366  (PPP C$0.14),C$51.15,C$360.51,+604.85%,+8.63%
188,10173-1,Holiday Train,Trains,9V,2006,Retired,965  (PPP C$0.12),C$115.10,C$726.80,+531.47%,+7.53%
189,10174-1,Imperial AT-ST,Star Wars,Ultimate Collector Series,2006,Retired,"1,068  (PPP C$0.10)",C$102.31,C$620.32,+506.33%,+7.14%
190,10175-1,Vader's TIE Advanced,Star Wars,Ultimate Collector Series,2006,Retired,"1,212  (PPP C$0.11)",C$127.89,"C$1,095.57",+756.67%,+8.86%
191,10176-1,King's Castle,Castle,Knights' Kingdom I,2006,Retired,869  (PPP C$0.15),C$127.89,C$490.23,+283.33%,+7.60%
192,10177-1,Boeing 787 Dreamliner,Advanced Models,Aircraft,2006,Retired,"1,197  (PPP C$0.09)",C$119.99,"C$1,143.85",+1018.05%,+12.75%
193,10178-1,Motorised Walking AT-AT,Star Wars,Episode V,2007,Retired,"1,137  (PPP C$0.15)",C$159.99,C$767.39,+361.57%,+7.52%
194,10179-1,Ultimate Collector's Millennium Falcon,Star Wars,Ultimate Collector Series,2007,Retired,"5,197  (PPP C$0.12)",C$639.49,"C$3,529.78",+451.97%,+17.56%
195,10181-1,Eiffel Tower,Advanced Models,Buildings,2007,Retired,"3,428  (PPP C$0.07)",C$255.79,"C$2,861.76",+1018.81%,+12.29%
196,10182-1,Cafe Corner,Advanced Models,Modular Buildings,2007,Retired,"2,056  (PPP C$0.09)",C$179.05,"C$2,762.63",+1442.96%,+12.00%
197,10183-1,Hobby Trains,Factory,Trains,2007,Retired,"1,080  (PPP C$0.12)",C$127.89,C$480.93,+276.06%,+7.18%
198,10184-1,Town Plan,City,,2008,Retired,"1,981  (PPP C$0.10)",C$191.84,C$484.74,+152.68%,+5.92%
199,10185-1,Green Grocer,Advanced Models,Modular Buildings,2008,Retired,"2,352  (PPP C$0.08)",C$219.99,"C$1,605.66",+736.99%,+11.32%
200,10186-1,General Grievous,Star Wars,Ultimate Collector Series,2008,Retired,"1,085  (PPP C$0.11)",C$115.10,C$318.46,+176.69%,+6.45%
201,10187-1,Volkswagen Beetle,Advanced Models,Vehicles,2008,Retired,"1,626  (PPP C$0.09)",C$153.47,C$890.95,+480.55%,+8.07%
202,10188-1,Death Star,Star Wars,Ultimate Collector Series,2008,Retired,"3,803  (PPP C$0.13)",C$499.99,C$630.29,+23.20%,+4.32%
203,10189-1,Taj Mahal,Advanced Models,Buildings,2008,Retired,"5,922  (PPP C$0.06)",C$399.99,"C$1,602.48",+317.65%,+20.84%
204,10190-1,Market Street,Factory,Modular Buildings,2007,Retired,"1,248  (PPP C$0.09)",C$115.10,"C$2,923.63",+2440.14%,+13.56%
205,10191-1,Star Justice,Factory,Space,2008,Retired,895  (PPP C$0.14),C$127.89,C$164.72,+28.80%,+2.54%
206,10192-1,Space Skulls,Factory,Space,2008,Retired,956  (PPP C$0.13),C$127.89,C$102.31,,
207,10193-1,Medieval Market Village,Castle,,2009,Retired,"1,601  (PPP C$0.08)",C$134.99,C$357.10,+179.23%,+12.43%
208,10194-1,Emerald Night,Advanced Models,Trains,2009,Retired,"1,085  (PPP C$0.12)",C$129.99,C$894.85,+599.72%,+13.61%
209,10195-1,Republic Dropship with AT-OT Walker,Star Wars,The Clone Wars,2009,Retired,"1,758  (PPP C$0.18)",C$349.99,"C$1,611.54",+404.02%,+13.96%
