0,1,2,3
10017-1,91,"Average PPP for Robotics & Electronics in 2001 is 0.27. PPP for this set is 0.13, which is better.",Recommendation: yes 92 / 100 → 92 / 100
10018-1,84,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.12, which is better.",Recommendation: meh 4.5 / 5 → 90 / 100
10019-1,88,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.16, which is better.",Recommendation: meh 4.7 / 5 → 94 / 100
100-2,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: yes 83 / 100 → 83 / 100
10020-1,88,"Average PPP for Robotics & Electronics in 2002 is 0.25. PPP for this set is 0.13, which is better.",Recommendation: yes 95 / 100 → 95 / 100
10021-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.08, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10022-1,88,"Average PPP for Robotics & Electronics in 2002 is 0.25. PPP for this set is 0.13, which is better.",Recommendation: yes 92 / 100 → 92 / 100
10023-1,Unknown,"Average PPP for Constraction in 2002 is 1.31. PPP for this set is 0.17, which is better.",Recommendation: no 43 / 100 → 43 / 100
10024-1,90,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.11, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10025-1,90,"Average PPP for Robotics & Electronics in 2002 is 0.25. PPP for this set is 0.16, which is better.",Recommendation: yes 91 / 100 → 91 / 100
10026-1,82,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.3, which is worse.",Recommendation: meh 4.5 / 5 → 90 / 100
10027-1,93,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.15, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10029-1,85,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.13, which is better.",Recommendation: yes 89 / 100 → 89 / 100
10030-1,87,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 94 / 100 → 94 / 100
10036-1,89,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.18, which is average.",Recommendation: yes 4.7 / 5 → 94 / 100
10037-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.18, which is average.",Recommendation: yes 85 / 100 → 85 / 100
10039-1,92,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 4.6 / 5 → 92 / 100
10040-1,90,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.14, which is better.",Recommendation: yes 4.7 / 5 → 94 / 100
10041-1,87,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.15, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10042-1,64,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.13, which is better.",Recommendation: meh 72 / 100 → 72 / 100
10043-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 70 / 100 → 70 / 100
10044-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.26, which is worse.",Recommendation: meh 71 / 100 → 71 / 100
10045-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 1.42, which is worse.",Recommendation: meh 78 / 100 → 78 / 100
10046-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.1, which is better.",Recommendation: meh 77 / 100 → 77 / 100
10047-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.24, which is worse.",Recommendation: yes 80 / 100 → 80 / 100
10048-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.18, which is average.",Recommendation: no 60 / 100 → 60 / 100
10049-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.27, which is worse.",Recommendation: no 40 / 100 → 40 / 100
10050-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.26, which is worse.",Recommendation: meh 78 / 100 → 78 / 100
10051-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.2, which is worse.",Recommendation: yes 83 / 100 → 83 / 100
10053-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.2, which is worse.",Recommendation: yes 85 / 100 → 85 / 100
10054-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10055-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.17, which is better.",Recommendation: yes 79 / 100 → 79 / 100
10057-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: meh 70 / 100 → 70 / 100
10058-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: meh 70 / 100 → 70 / 100
10059-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 82 / 100 → 82 / 100
10060-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 82 / 100 → 82 / 100
10061-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: yes 82 / 100 → 82 / 100
10062-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10063-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: yes 84 / 100 → 84 / 100
10064-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: yes 82 / 100 → 82 / 100
10065-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: meh 75 / 100 → 75 / 100
10066-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.2, which is worse.",Recommendation: meh 75 / 100 → 75 / 100
10067-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.13, which is better.",Recommendation: yes 86 / 100 → 86 / 100
10068-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: meh 76 / 100 → 76 / 100
10069-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.11, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10070-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.14, which is better.",Recommendation: no 59 / 100 → 59 / 100
10071-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.14, which is better.",Recommendation: meh 62 / 100 → 62 / 100
10072-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.25, which is worse.",Recommendation: meh 76 / 100 → 76 / 100
10074-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.21, which is worse.",Recommendation: meh 62 / 100 → 62 / 100
10075-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.4, which is worse.",Recommendation: meh 68 / 100 → 68 / 100
10076-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.47, which is worse.",Recommendation: meh 76 / 100 → 76 / 100
10078-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: no 55 / 100 → 55 / 100
10079-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.08, which is better.",Recommendation: meh 67 / 100 → 67 / 100
10080-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.11, which is better.",Recommendation: meh 73 / 100 → 73 / 100
10081-1,Unknown,"Average PPP for Other in 2004 is 1.56. PPP for this set is 0.12, which is better.",Recommendation: no 50 / 100 → 50 / 100
10082-1,Unknown,"Average PPP for Other in 2004 is 1.56. PPP for this set is 0.12, which is better.",Recommendation: no 50 / 100 → 50 / 100
10083-1,Unknown,"Average PPP for Other in 2004 is 1.56. PPP for this set is 0.12, which is better.",Recommendation: no 50 / 100 → 50 / 100
10090-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.08, which is better.",Recommendation: yes 83 / 100 → 83 / 100
10106-1,Unknown,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.1, which is better.",Recommendation: meh 75 / 100 → 75 / 100
101-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 70 / 100 → 70 / 100
1011-1,Unknown,"Average PPP for Other in 1976 is 1.05. PPP for this set is 1.44, which is worse.",Recommendation: meh 65 / 100 → 65 / 100
10111-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.87, which is worse.",Recommendation: yes 81 / 100 → 81 / 100
10112-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.4, which is worse.",Recommendation: meh 72 / 100 → 72 / 100
10113-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 1.44, which is worse.",Recommendation: yes 90 / 100 → 90 / 100
10114-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.12, which is better.",Recommendation: yes 79 / 100 → 79 / 100
10115-1,Unknown,"Average PPP for System in 2001 is 0.23. PPP for this set is 0.09, which is better.",Recommendation: yes 85 / 100 → 85 / 100
10121-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.69, which is worse.",Recommendation: no 37 / 100 → 37 / 100
10123-1,83,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.19, which is worse.",Recommendation: yes 56 / 60 → 93 / 100
10124-1,84,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.13, which is better.",Recommendation: yes 85 / 100 → 85 / 100
10127-1,Unknown,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.21, which is worse.",Recommendation: no 33 / 100 → 33 / 100
10128-1,85,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.21, which is worse.",Recommendation: yes 9.2 / 10 → 92 / 100
10129-1,90,"Average PPP for System in 2003 is 0.17. PPP for this set is 0.13, which is better.",Recommendation: meh 4.7 / 5 → 94 / 100
10131-1,80,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.14, which is better.",Recommendation: yes 4.2 / 5 → 84 / 100
10132-1,81,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.23, which is worse.",Recommendation: yes 4.5 / 5 → 90 / 100
10133-1,87,"Average PPP for Robotics & Electronics in 2005 is 0.14. PPP for this set is 0.13, which is better.",Recommendation: yes 92 / 100 → 92 / 100
10134-1,85,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 95 / 100 → 95 / 100
10143-1,76,"Average PPP for System in 2005 is 0.12. PPP for this set is 0.1, which is better.",Recommendation: yes 8.85 / 10 → 89 / 100
10144-1,87,"Average PPP for System in 2005 is 0.12. PPP for this set is 0.1, which is better.",Recommendation: yes 9.3 / 10 → 93 / 100
10145-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 81 / 100 → 81 / 100
10146-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 82 / 100 → 82 / 100
10147-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10148-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.16, which is average.",Recommendation: yes 85 / 100 → 85 / 100
10149-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.16, which is average.",Recommendation: yes 82 / 100 → 82 / 100
10150-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.16, which is average.",Recommendation: yes 81 / 100 → 81 / 100
10151-1,87,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.14, which is better.",Recommendation: yes 9.5 / 10 → 95 / 100
10152-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 93 / 100 → 93 / 100
10153-1,87,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: yes 91 / 100 → 91 / 100
10155-1,80,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.14, which is average.",Recommendation: yes 4.2 / 5 → 84 / 100
10156-1,84,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.19, which is worse.",Recommendation: yes 85 / 100 → 85 / 100
10157-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.23, which is worse.",Recommendation: no 59 / 100 → 59 / 100
10158-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.22, which is worse.",Recommendation: meh 63 / 100 → 63 / 100
10159-1,92,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.14, which is better.",Recommendation: yes 4.6 / 5 → 92 / 100
10160-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.16, which is average.",Recommendation: yes 82 / 100 → 82 / 100
10161-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 89 / 100 → 89 / 100
10162-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.18, which is worse.",Recommendation: yes 82 / 100 → 82 / 100
10163-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10165-1,Unknown,"Average PPP for System in 2004 is 0.16. PPP for this set is 0.12, which is better.",Recommendation: meh 67 / 100 → 67 / 100
10166-1,Unknown,"Average PPP for System in 2002 is 0.18. PPP for this set is 0.11, which is better.",Recommendation: meh 71 / 100 → 71 / 100
10167-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: no 61 / 100 → 61 / 100
10168-1,Unknown,"Average PPP for System in 2005 is 0.12. PPP for this set is 0.09, which is better.",Recommendation: yes 80 / 100 → 80 / 100
10169-1,Unknown,"Average PPP for System in 2005 is 0.12. PPP for this set is 0.09, which is better.",Recommendation: meh 66 / 100 → 66 / 100
10170-1,82,"Average PPP for Robotics & Electronics in 2005 is 0.14. PPP for this set is 0.14, which is average.",Recommendation: yes 4.3 / 5 → 86 / 100
10173-1,86,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.11, which is better.",Recommendation: meh 4.5 / 5 → 90 / 100
10174-1,85,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 93 / 100 → 93 / 100
10175-1,81,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.1, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10176-1,79,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.15, which is worse.",Recommendation: yes 4.6 / 5 → 92 / 100
10177-1,81,"Average PPP for System in 2006 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 88 / 100 → 88 / 100
10178-1,91,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.14, which is worse.",Recommendation: yes 9.5 / 10 → 95 / 100
10179-1,86,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.12, which is average.",Recommendation: yes 9.59 / 10 → 96 / 100
10181-1,83,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.07, which is better.",Recommendation: yes 91 / 100 → 91 / 100
10182-1,91,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.09, which is better.",Recommendation: yes 96 / 100 → 96 / 100
10183-1,89,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.11, which is better.",Recommendation: yes 92 / 100 → 92 / 100
10184-1,89,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 96 / 100 → 96 / 100
10185-1,92,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.07, which is better.",Recommendation: yes 100 / 100 → 100 / 100
10186-1,80,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 4.2 / 5 → 84 / 100
10187-1,81,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.08, which is better.",Recommendation: yes 89 / 100 → 89 / 100
10188-1,90,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.13, which is better.",Recommendation: yes 98 / 100 → 98 / 100
10189-1,78,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.06, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10190-1,84,"Average PPP for System in 2007 is 0.12. PPP for this set is 0.09, which is better.",Recommendation: yes 93 / 100 → 93 / 100
10191-1,81,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.13, which is better.",Recommendation: meh 84 / 100 → 84 / 100
10192-1,76,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.12, which is better.",Recommendation: meh 82 / 100 → 82 / 100
10193-1,87,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.07, which is better.",Recommendation: yes 93 / 100 → 93 / 100
10194-1,92,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.11, which is better.",Recommendation: yes 10 / 10 → 100 / 100
10195-1,80,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.17, which is better.",Recommendation: yes 4.5 / 5 → 90 / 100
10196-1,90,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.1, which is better.",Recommendation: yes 10 / 10 → 100 / 100
10197-1,90,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.08, which is better.",Recommendation: yes 9.6 / 10 → 96 / 100
10198-1,80,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.13, which is better.",Recommendation: yes 4.4 / 5 → 88 / 100
10199-1,78,"Average PPP for System in 2009 is 0.26. PPP for this set is 0.08, which is better.",Recommendation: yes 89 / 100 → 89 / 100
10-2,Unknown,"Average PPP for System in 1976 is 0.18. PPP for this set is 0.09, which is better.",Recommendation: meh 70 / 100 → 70 / 100
10200-1,Unknown,"Average PPP for System in 2008 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 79 / 100 → 79 / 100
10201-1,Unknown,"Average PPP for Constraction in 2003 is 0.25. PPP for this set is 0.18, which is better.",Recommendation: meh 70 / 100 → 70 / 100
10202-1,Unknown,"Average PPP for Constraction in 2004 is 0.23. PPP for this set is 0.12, which is better.",Recommendation: no
10203-1,Unknown,"Average PPP for Constraction in 2005 is 0.21. PPP for this set is 0.1, which is better.",Recommendation: meh 67 / 100 → 67 / 100
10204-1,Unknown,"Average PPP for Constraction in 2006 is 0.21. PPP for this set is 0.09, which is better.",Recommendation: yes 4.7 / 5 → 94 / 100
10205-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: yes 81 / 100 → 81 / 100
102-1,Unknown,We do not currently know how the average price per part for this set compares to other sets.,Recommendation: meh 73 / 100 → 73 / 100
10210-1,90,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.13, which is better.",Recommendation: yes 93 / 100 → 93 / 100
10211-1,88,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.08, which is better.",Recommendation: yes 94 / 100 → 94 / 100
10212-1,83,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.12, which is better.",Recommendation: yes 4.6 / 5 → 92 / 100
10213-1,83,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 4.6 / 5 → 92 / 100
10214-1,89,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.07, which is better.",Recommendation: meh 4.77 / 5 → 95 / 100
10215-1,80,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.18, which is worse.",Recommendation: yes 46 / 50 → 92 / 100
10216-1,82,"Average PPP for System in 2010 is 0.14. PPP for this set is 0.09, which is better.",Recommendation: yes 94 / 100 → 94 / 100
10217-1,87,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.08, which is better.",Recommendation: yes 46 / 50 → 92 / 100
10218-1,90,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.08, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10219-1,85,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.11, which is better.",Recommendation: yes 95 / 100 → 95 / 100
10220-1,90,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.1, which is better.",Recommendation: yes 100 / 100 → 100 / 100
10221-1,80,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.15, which is average.",Recommendation: yes 4.5 / 5 → 90 / 100
10222-1,80,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.1, which is better.",Recommendation: yes 4.3 / 5 → 86 / 100
10223-1,81,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.09, which is better.",Recommendation: yes 4.6 / 5 → 92 / 100
10224-1,89,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.08, which is better.",Recommendation: yes 9.25 / 10 → 93 / 100
10225-1,90,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.09, which is better.",Recommendation: yes 10 / 10 → 100 / 100
10226-1,90,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.12, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10227-1,79,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.14, which is better.",Recommendation: yes 4.3 / 5 → 86 / 100
10228-1,89,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.1, which is better.",Recommendation: yes 9.6 / 10 → 96 / 100
10229-1,90,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.08, which is better.",Recommendation: yes 47.5 / 50 → 95 / 100
10230-1,83,"Average PPP for System in 2012 is 0.15. PPP for this set is 0.07, which is better.",Recommendation: yes 4.4 / 5 → 88 / 100
10231-1,83,"Average PPP for System in 2011 is 0.15. PPP for this set is 0.09, which is better.",Recommendation: yes 4.5 / 5 → 90 / 100
10232-1,86,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.08, which is better.",Recommendation: meh 4.66 / 5 → 93 / 100
10233-1,84,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.11, which is better.",Recommendation: yes 4.4 / 5 → 88 / 100
10234-1,78,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.12, which is better.",Recommendation: yes 9.8 / 10 → 98 / 100
10235-1,86,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.09, which is better.",Recommendation: meh 4.5 / 5 → 90 / 100
10236-1,96,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.14, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10237-1,92,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.09, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10240-1,83,"Average PPP for System in 2013 is 0.16. PPP for this set is 0.14, which is better.",Recommendation: yes 10 / 10 → 100 / 100
10241-1,81,"Average PPP for System in 2014 is 0.14. PPP for this set is 0.11, which is better.",Recommendation: meh 4.5 / 5 → 90 / 100
10242-1,89,"Average PPP for System in 2014 is 0.14. PPP for this set is 0.1, which is better.",Recommendation: yes 5 / 5 → 100 / 100
10243-1,95,"Average PPP for System in 2014 is 0.14. PPP for this set is 0.06, which is better.",Recommendation: meh 4.91 / 5 → 98 / 100
10244-1,89,"Average PPP for System in 2014 is 0.14. PPP for this set is 0.1, which is better.",Recommendation: meh 4.88 / 5 → 98 / 100
