,0,1,2
84,10068-1,CA $14.72,CA $9.23
85,10069-1,CA $29.80,CA $8.09
86,10070-1,CA $26.27,CA $6.95
87,10071-1,CA $18.04,CA $3.63
88,10072-1,-,-
89,10073-1,CA $22.11,-
90,10074-1,CA $54.00,-
91,10075-1,-,-
92,10076-1,-,-
93,10077-1,CA $113.15,-
94,10078-1,CA $102.40,-
95,10079-1,CA $28.09,CA $8.43
96,10080-1,CA $29.63,CA $8.07
97,10090-1,CA $24.11,CA $13.48
98,10106-1,CA $51.36,CA $31.24
99,101-1,CA $47.02,CA $19.36
100,10111-1,CA $39.43,-
101,10112-1,-,-
102,10113-1,CA $236.76,-
103,10114-1,CA $29.24,-
104,10115-1,CA $26.93,-
105,10116-1,CA $29.21,-
106,10117-1,CA $33.26,-
107,10118-1,CA $45.52,-
108,10121-1,CA $125.03,CA $55.00
109,10123-1,"CA $1,192.27",CA $824.21
110,10124-1,CA $579.08,CA $395.44
111,10127-1,CA $124.59,-
112,10128-1,CA $338.32,CA $186.62
113,10129-1,"CA $1,572.24",CA $891.58
114,101-3,-,CA $19.20
115,10131-1,CA $729.20,CA $214.66
116,10132-1,CA $948.44,CA $641.29
117,10133-1,CA $852.43,CA $376.76
118,10134-1,"CA $1,402.57",CA $641.01
119,10135-1,CA $51.24,-
120,10143-1,"CA $3,311.96","CA $1,683.67"
121,10144-1,CA $614.83,CA $359.26
122,10145-1,CA $36.69,CA $15.41
123,10146-1,CA $24.29,-
124,10147-1,-,-
125,10148-1,CA $31.92,CA $15.41
126,10149-1,CA $23.43,-
127,10150-1,CA $32.52,-
128,10151-1,CA $295.82,CA $169.84
129,10152-1,CA $374.41,CA $184.73
130,10152-2,CA $412.90,CA $246.55
131,10152-3,CA $397.03,CA $297.78
132,10153-1,CA $145.75,CA $84.97
133,10155-1,CA $361.29,CA $227.97
134,10156-1,CA $85.08,CA $54.77
135,10157-1,CA $223.70,CA $148.21
136,10158-1,CA $242.14,CA $131.70
137,10159-1,CA $794.56,CA $266.34
138,10159-2,CA $625.33,CA $261.63
139,10160-1,CA $45.22,-
140,10161-1,-,-
141,10162-1,CA $38.21,-
142,10163-1,CA $12.15,CA $12.18
143,10165-1,CA $20.53,CA $5.31
144,10166-1,CA $41.77,CA $7.05
145,10167-1,CA $39.71,-
146,10168-1,CA $25.16,CA $8.03
147,10169-1,CA $17.31,CA $10.53
148,10170-1,CA $356.53,CA $181.02
149,10173-1,CA $862.08,CA $484.57
150,10174-1,CA $722.44,CA $392.87
151,10175-1,"CA $1,760.71",CA $672.57
152,10176-1,CA $622.53,-
153,10177-1,"CA $1,204.69",CA $459.35
154,10178-1,CA $907.88,CA $429.01
155,10179-1,"CA $4,712.90","CA $2,031.15"
156,10181-1,"CA $2,710.75","CA $1,131.23"
157,10182-1,"CA $3,067.71","CA $1,275.79"
158,10183-1,CA $778.04,CA $281.72
159,10184-1,CA $694.35,CA $323.76
160,10185-1,"CA $1,970.54","CA $1,149.78"
161,10186-1,CA $474.19,CA $262.43
162,10187-1,"CA $1,183.81",CA $681.81
163,10188-1,CA $913.23,CA $661.18
164,10189-1,"CA $2,720.33","CA $1,109.88"
165,10190-1,"CA $2,773.80",CA $910.26
166,10191-1,CA $165.56,-
167,10192-1,CA $123.32,CA $62.69
168,10193-1,CA $463.84,CA $353.93
169,10194-1,CA $957.23,CA $606.02
170,10195-1,"CA $1,963.21","CA $1,013.17"
171,10196-1,"CA $181,893.76","CA $1,596.73"
172,10197-1,CA $841.35,CA $644.85
173,10198-1,CA $565.74,CA $328.57
174,10199-1,CA $297.72,CA $208.71
175,10-2,-,CA $40.14
176,10200-1,CA $189.79,CA $121.38
177,10201-1,-,CA $385.23
178,10202-1,CA $359.86,CA $163.02
179,10202-2,CA $279.03,-
180,10203-1,CA $383.13,CA $156.18
181,10204-1,-,CA $483.69
182,10205-1,CA $413.36,CA $185.49
183,102-1,CA $336.42,CA $90.05
184,10210-1,"CA $1,428.75","CA $1,028.27"
185,10211-1,CA $754.70,CA $509.85
186,10212-1,"CA $1,261.42",CA $816.12
187,10213-1,CA $788.67,CA $378.75
188,10214-1,CA $513.16,CA $328.74
189,10215-1,CA $452.38,CA $270.83
190,10216-1,CA $464.46,CA $329.36
191,10217-1,CA $810.51,CA $548.08
192,10218-1,CA $452.42,CA $329.40
193,10219-1,CA $652.58,CA $366.44
194,10220-1,CA $224.21,CA $185.90
195,10221-1,"CA $1,654.61",CA $975.02
196,10222-1,CA $676.43,CA $412.71
197,10223-1,CA $411.60,-
198,10224-1,"CA $1,264.77",CA $891.67
199,10225-1,CA $759.30,CA $443.08
200,10226-1,CA $289.88,CA $186.56
201,10227-1,CA $793.07,CA $465.75
202,10228-1,CA $755.15,CA $537.22
203,10229-1,CA $541.36,CA $431.84
204,10230-1,CA $277.09,CA $133.09
205,10231-1,CA $846.70,CA $419.37
206,10232-1,CA $519.14,CA $363.29
207,10233-1,CA $452.05,CA $382.41
208,10234-1,CA $686.47,CA $416.25
209,10235-1,CA $322.40,CA $362.98
210,10236-1,CA $698.04,CA $553.52
211,10237-1,CA $686.79,CA $280.04
212,10240-1,CA $600.71,CA $468.58
213,10241-1,CA $501.66,CA $357.72
214,10242-1,CA $305.11,CA $199.85
215,10242-2,CA $331.75,CA $167.57
216,10243-1,CA $451.32,CA $360.03
217,10244-1,CA $346.03,CA $246.63
218,10245-1,CA $382.51,CA $286.05
219,1024601-1,CA $421.59,-
220,10246-1,CA $586.48,CA $445.37
221,10247-1,CA $567.62,CA $400.41
222,10248-1,CA $446.13,CA $286.37
223,10249-1,CA $298.96,CA $236.32
224,10250-1,CA $187.73,CA $96.31
225,10251-1,CA $661.84,CA $478.80
226,10252-1,CA $204.94,CA $135.48
227,10253-1,CA $609.23,CA $403.69
228,10254-1,CA $258.87,CA $141.80
229,10255-1,CA $500.40,CA $457.77
230,10256-1,CA $655.82,CA $445.93
231,10257-1,CA $526.92,CA $425.23
232,10258-1,CA $217.08,CA $151.33
233,10259-1,CA $240.16,CA $202.71
234,10260-1,CA $381.85,CA $357.92
235,10261-1,CA $618.80,CA $477.09
236,10262-1,CA $269.00,CA $201.28
237,10263-1,CA $181.27,CA $127.20
238,10264-1,CA $333.29,CA $268.80
239,10265-1,CA $239.88,CA $104.55
240,10266-1,CA $203.34,CA $126.63
241,10267-1,CA $234.41,CA $172.32
242,10268-1,CA $308.52,-
243,10269-1,CA $158.89,CA $123.08
244,10270-1,CA $276.25,CA $293.13
245,10271-1,CA $150.97,CA $114.79
246,10272-1,CA $437.01,CA $349.60
247,10273-1,CA $426.73,CA $362.32
248,10274-1,CA $348.77,-
249,10275-1,CA $220.11,-
250,10276-1,CA $882.98,-
251,10277-1,CA $206.72,-
252,10287-1,CA $258.71,CA $261.09
253,1029-1,-,CA $78.35
254,1030-1,CA $195.83,CA $88.78
255,103-1,CA $195.12,CA $50.49
256,1031-1,CA $31.61,CA $11.51
257,1032-1,-,CA $104.42
258,1033-1,CA $28.06,CA $16.96
259,1034-1,-,-
260,1038-1,CA $133.22,CA $59.36
261,1039-1,CA $152.81,CA $85.13
262,10401-1,CA $12.78,CA $7.67
263,1040-2,-,CA $92.47
264,10402-1,CA $18.48,CA $15.67
265,10403-1,CA $28.64,CA $12.85
266,10404-1,CA $46.19,-
267,10405-1,CA $73.85,-
268,104-1,-,CA $28.21
269,1047-1,-,-
270,1048-1,-,-
271,10500-1,CA $55.24,CA $27.46
272,10501-1,CA $11.51,CA $8.19
273,10502-1,CA $105.35,CA $37.46
274,10503-1,CA $28.11,CA $20.65
275,10504-1,CA $124.14,CA $47.36
276,10505-1,CA $185.56,CA $74.72
277,10506-1,CA $69.21,CA $27.59
278,10507-1,CA $55.64,CA $56.28
279,10508-1,CA $126.41,CA $89.15
280,10509-1,CA $52.02,CA $27.51
281,105-1,-,CA $205.15
282,10510-1,CA $49.43,CA $36.24
283,10511-1,CA $116.41,CA $49.99
284,10512-1,CA $50.55,CA $19.01
285,10513-1,CA $62.97,CA $25.66
286,10514-1,CA $133.22,CA $91.35
287,10515-1,CA $121.41,CA $64.80
288,10516-1,CA $68.78,CA $32.50
289,10517-1,CA $78.72,CA $22.45
290,10518-1,CA $135.95,CA $31.06
291,10519-1,CA $104.80,CA $28.92
292,105-2,-,CA $128.41
293,10520-1,CA $63.50,CA $25.48
294,10521-1,CA $14.68,CA $9.82
295,10522-1,CA $49.67,CA $17.49
296,10524-1,-,CA $21.47
297,10525-1,CA $132.11,CA $86.03
298,10526-1,CA $44.26,CA $26.85
299,10527-1,-,CA $23.51
300,10528-1,CA $84.11,-
301,10529-1,CA $24.48,CA $23.67
302,1053-1,-,CA $362.35
303,10531-1,CA $115.14,CA $9.94
304,10532-1,-,CA $25.97
305,10538-1,CA $114.22,CA $71.86
306,10539-1,CA $39.06,CA $23.30
307,1054-1,CA $222.21,CA $101.86
308,10542-1,CA $123.34,CA $54.29
309,10543-1,CA $37.81,CA $19.71
310,10544-1,CA $66.82,CA $32.25
311,10545-1,CA $98.23,CA $58.74
312,10546-1,CA $43.49,CA $25.75
313,10550-1,CA $43.97,CA $25.00
314,10552-1,-,CA $19.85
315,10553-1,CA $25.89,CA $14.85
316,10554-1,CA $34.85,CA $25.07
317,10555-1,-,CA $11.75
318,10556-1,CA $70.85,-
319,10557-1,CA $74.95,CA $71.53
320,10558-1,CA $43.85,CA $20.23
321,10559-1,CA $13.48,CA $11.99
322,10560-1,-,CA $16.75
323,1056-1,-,CA $100.30
324,10561-1,-,CA $18.04
325,10566-1,CA $36.52,CA $26.20
326,10567-1,CA $33.05,CA $25.28
327,10568-1,CA $31.07,CA $9.85
328,10569-1,CA $85.49,CA $38.12
329,10570-1,CA $44.48,CA $19.58
330,10571-1,-,CA $32.43
331,10572-1,CA $37.02,CA $20.98
332,10573-1,CA $43.98,CA $18.84
333,10574-1,-,CA $34.64
334,10576-1,CA $11.62,CA $12.54
335,10577-1,CA $115.57,CA $80.86
336,10579-1,CA $19.46,CA $17.39
337,10580-1,CA $69.94,CA $24.14
338,10581-1,CA $34.75,CA $22.36
339,10582-1,CA $40.27,CA $29.89
340,10583-1,CA $53.27,CA $38.43
341,10584-1,CA $138.97,CA $92.26
342,10585-1,-,CA $22.72
343,10586-1,CA $39.25,CA $16.00
344,10587-1,CA $65.26,CA $31.36
345,10589-1,CA $22.60,CA $15.16
346,10590-1,CA $36.87,CA $19.76
347,10591-1,CA $45.40,CA $22.70
348,10592-1,-,CA $28.12
349,10593-1,CA $136.40,CA $101.11
350,10594-1,CA $68.48,CA $34.95
351,10595-1,CA $138.87,CA $106.11
352,10596-1,CA $249.99,-
353,10597-1,CA $38.10,CA $23.44
354,10599-1,-,CA $65.68
355,10600-1,CA $69.17,CA $20.13
356,1060-1,CA $218.30,CA $131.85
357,10601-1,CA $22.57,-
358,10602-1,CA $74.97,CA $46.23
359,10603-1,CA $29.69,CA $18.49
360,10604-1,CA $39.33,CA $23.97
361,10605-1,CA $37.66,CA $26.21
362,10606-1,CA $59.02,CA $30.56
363,10607-1,-,CA $23.04
364,10608-1,CA $51.07,CA $48.80
365,106-1,"CA $12,840.07","CA $3,354.07"
366,10615-1,CA $16.53,CA $19.35
367,10616-1,CA $33.07,CA $24.14
368,10617-1,CA $37.67,CA $22.95
369,10618-1,-,CA $57.79
370,10622-1,CA $207.30,-
371,1063-1,"CA $1,967.30",-
372,10654-1,CA $153.16,-
373,10655-1,CA $32.43,CA $38.33
374,10656-1,CA $30.36,CA $9.72
375,10657-1,CA $39.17,CA $23.80
376,10659-1,CA $55.01,CA $16.54
377,10660-1,CA $46.31,CA $25.24
378,1066-1,"CA $1,096.28",-
379,10661-1,CA $35.72,CA $11.57
380,10662-1,CA $121.74,CA $46.51
381,10663-1,CA $138.57,CA $68.57
382,10664-1,CA $145.08,-
383,10665-1,CA $37.87,CA $16.80
384,10666-1,CA $53.76,CA $21.75
385,10667-1,CA $30.18,CA $21.40
386,10668-1,CA $57.24,CA $38.76
387,10669-1,CA $72.83,CA $27.96
388,1067-1,"CA $1,240.20",-
389,10671-1,CA $39.18,CA $20.66
390,10672-1,CA $68.23,CA $36.36
391,10673-1,CA $37.24,CA $27.71
392,10674-1,CA $49.19,CA $46.05
393,10675-1,CA $123.71,CA $42.78
394,10676-1,-,CA $66.85
395,10677-1,CA $26.98,CA $13.75
396,10679-1,CA $26.62,CA $20.14
397,10680-1,CA $41.87,CA $19.08
398,1068-1,-,CA $4.21
399,10681-1,CA $46.05,CA $39.49
400,10682-1,CA $102.73,-
401,10683-1,CA $68.15,CA $22.20
402,10684-1,CA $38.01,CA $17.59
403,10685-1,CA $37.60,CA $21.03
404,10686-1,CA $58.39,CA $53.07
405,10687-1,CA $45.70,CA $25.47
406,1069-1,CA $56.41,CA $4.18
407,10692-1,CA $23.12,CA $13.29
408,10693-1,CA $28.29,CA $16.83
409,10694-1,CA $36.43,CA $20.77
410,10695-1,CA $63.44,CA $56.80
411,10696-1,CA $43.86,CA $27.05
412,10697-1,CA $148.11,-
413,10698-1,CA $73.51,CA $45.45
414,10699-1,CA $29.10,-
415,10700-1,CA $11.09,CA $7.24
416,1070-1,CA $12.84,CA $4.54
417,10701-1,CA $20.78,CA $15.76
418,10702-1,CA $55.36,CA $22.20
419,10703-1,CA $73.78,CA $43.22
420,10704-1,CA $53.97,CA $17.34
421,10705-1,CA $2.73,-
422,10706-1,CA $8.41,CA $5.83
423,10707-1,CA $8.60,CA $5.31
424,10708-1,CA $175.94,CA $5.68
425,10709-1,CA $9.25,CA $4.24
426,107-1,CA $136.11,CA $47.87
427,10712-1,CA $27.16,CA $30.37
428,10713-1,CA $26.96,CA $18.07
429,10714-1,CA $11.91,CA $9.22
430,10715-1,CA $33.97,CA $28.84
431,10717-1,CA $88.46,-
432,107-2,"CA $1,959.05",CA $449.26
433,10720-1,CA $32.40,CA $10.13
434,10721-1,CA $40.96,CA $27.70
435,10722-1,CA $35.43,CA $14.29
436,10723-1,CA $32.82,CA $17.76
437,10724-1,CA $60.54,CA $34.04
438,10725-1,CA $48.75,CA $29.51
439,10726-1,CA $22.64,CA $17.32
440,10727-1,CA $61.93,CA $25.70
441,10728-1,CA $48.97,CA $38.37
442,10729-1,CA $54.01,CA $28.01
443,107-3,-,CA $96.31
444,10730-1,CA $27.62,CA $15.67
445,10731-1,CA $19.05,CA $17.61
446,10732-1,CA $21.87,CA $12.70
447,10733-1,CA $32.26,CA $7.69
448,10734-1,CA $100.19,CA $48.86
449,10735-1,CA $32.75,CA $20.00
450,10736-1,CA $57.15,CA $42.05
451,10737-1,CA $22.75,CA $16.36
452,10738-1,CA $34.47,CA $25.68
453,10739-1,CA $27.21,CA $12.31
454,10740-1,CA $28.46,CA $19.85
455,10742-1,CA $31.45,-
456,10743-1,CA $63.91,CA $25.04
457,10744-1,CA $103.29,CA $61.00
458,10745-1,CA $83.74,CA $46.72
459,10746-1,CA $28.96,CA $20.23
460,10747-1,CA $47.26,-
461,10748-1,CA $15.73,CA $12.91
462,10749-1,CA $24.85,CA $16.19
463,10750-1,CA $20.02,CA $12.49
464,10751-1,CA $30.74,CA $15.53
465,10753-1,CA $36.61,CA $27.81
466,10754-1,CA $33.45,CA $19.16
467,10755-1,CA $29.84,CA $12.90
468,10756-1,CA $33.22,CA $15.57
469,10757-1,CA $46.37,CA $25.39
470,10758-1,CA $87.22,CA $55.16
471,10759-1,CA $32.10,-
472,10760-1,CA $41.30,-
473,1076-1,CA $160.78,CA $80.37
474,10761-1,CA $50.80,CA $23.11
475,10762-1,CA $30.33,CA $11.50
476,10763-1,CA $48.46,-
477,10764-1,CA $70.58,CA $41.19
478,10765-1,CA $34.63,-
479,10766-1,CA $15.20,CA $9.18
480,10767-1,CA $27.29,CA $9.55
481,10768-1,CA $33.70,CA $25.03
482,10769-1,CA $46.18,-
483,10770-1,CA $64.18,-
484,1077-1,CA $142.56,-
485,10771-1,CA $29.03,CA $29.78
486,10801-1,CA $41.56,CA $20.39
487,10802-1,CA $37.38,CA $21.99
488,10803-1,CA $87.06,CA $34.95
489,10804-1,CA $99.24,-
490,10805-1,CA $167.90,CA $176.27
491,10806-1,-,CA $29.78
492,10807-1,CA $134.05,CA $39.18
493,10808-1,CA $40.69,CA $21.45
494,10809-1,CA $20.20,CA $16.09
495,10810-1,-,CA $40.55
496,10811-1,CA $72.94,CA $29.55
497,10812-1,CA $30.21,CA $27.43
498,10813-1,CA $119.00,CA $49.19
499,10814-1,-,CA $34.48
500,10815-1,-,-
501,10816-1,CA $39.17,CA $19.49
502,10817-1,CA $37.35,-
503,10818-1,CA $62.69,CA $22.86
504,10819-1,CA $30.77,CA $26.64
505,10820-1,CA $96.43,CA $63.56
506,10822-1,CA $78.11,CA $50.15
507,10823-1,CA $51.39,CA $6.42
508,10824-1,CA $30.23,CA $13.39
509,10825-1,-,-
510,10826-1,CA $53.46,CA $45.29
511,10827-1,CA $99.96,CA $35.49
512,10828-1,CA $31.77,-
513,10829-1,CA $34.23,CA $26.38
514,10830-1,CA $46.12,CA $20.26
515,10831-1,CA $14.85,CA $10.59
516,10832-1,CA $24.05,CA $18.00
517,10833-1,-,CA $29.78
518,10834-1,CA $45.82,CA $63.21
519,10835-1,CA $70.79,-
520,10836-1,CA $93.87,CA $71.64
521,10837-1,CA $66.53,-
522,10838-1,CA $20.68,-
523,10839-1,CA $31.03,CA $34.48
524,10840-1,CA $103.40,-
525,10841-1,CA $76.79,-
526,10842-1,CA $154.10,CA $96.14
527,10843-1,CA $38.09,CA $29.62
528,10844-1,CA $172.28,CA $62.92
529,10845-1,CA $31.50,CA $17.34
530,10846-1,CA $96.31,CA $73.20
531,10847-1,CA $28.53,CA $19.65
532,10848-1,CA $28.60,-
533,10849-1,CA $7.59,CA $10.35
534,10850-1,CA $7.88,-
535,10851-1,CA $7.07,CA $5.37
536,10852-1,CA $6.63,CA $1.28
537,10853-1,CA $52.81,-
538,10854-1,CA $65.75,-
539,10855-1,-,CA $49.34
540,10856-1,CA $38.51,CA $16.26
541,10857-1,CA $69.18,-
542,10858-1,CA $12.88,-
543,10859-1,CA $6.98,CA $6.42
544,10860-1,CA $8.19,CA $7.89
545,10861-1,CA $21.80,-
546,10862-1,CA $24.81,-
547,10863-1,CA $36.03,-
548,10864-1,CA $115.57,-
549,10865-1,CA $30.14,-
550,10867-1,CA $27.18,CA $15.04
551,10868-1,CA $44.52,-
552,10869-1,CA $127.13,-
553,10870-1,CA $19.03,CA $3.47
554,10871-1,CA $35.69,-
555,10872-1,CA $37.69,CA $49.12
556,10873-1,CA $30.05,CA $15.52
557,10874-1,CA $85.02,-
558,10875-1,CA $153.26,-
559,10876-1,CA $85.79,-
560,10877-1,CA $45.11,CA $32.13
561,10878-1,CA $92.42,-
562,10879-1,CA $52.43,CA $38.20
563,10880-1,CA $53.68,CA $41.09
564,1088-1,CA $22.08,CA $3.73
565,10881-1,CA $44.97,-
566,10882-1,CA $28.06,-
567,10883-1,CA $14.64,-
568,10884-1,CA $19.61,-
569,10885-1,CA $27.21,-
570,10886-1,CA $25.32,-
571,10887-1,CA $56.15,-
572,10889-1,CA $77.57,-
573,10893-1,CA $38.66,-
574,10894-1,CA $32.92,CA $18.07
575,10895-1,CA $37.73,-
576,10897-1,CA $14.13,-
577,10898-1,CA $14.19,-
578,10899-1,CA $68.61,-
579,10900-1,CA $14.16,-
580,1090-1,CA $272.83,CA $197.62
581,10901-1,CA $25.48,CA $23.76
582,10902-1,CA $39.69,-
583,10903-1,CA $68.73,-
584,10904-1,CA $15.51,-
585,10906-1,CA $83.10,-
586,10907-1,CA $130.97,-
587,10908-1,CA $13.20,CA $11.24
588,10909-1,CA $27.70,-
589,10910-1,CA $24.63,-
590,10913-1,CA $38.82,-
591,10914-1,CA $69.21,-
592,10915-1,CA $37.51,-
593,10917-1,CA $7.24,-
594,10918-1,CA $7.36,-
595,10919-1,CA $60.15,-
596,10920-1,CA $28.90,-
597,1092-1,CA $122.24,-
598,10921-1,CA $42.37,CA $34.93
599,10922-1,CA $41.54,-
600,10924-1,CA $41.79,-
601,10925-1,CA $18.79,-
602,10926-1,CA $17.87,-
603,10927-1,CA $12.67,-
604,10928-1,CA $51.20,-
605,10929-1,CA $77.86,-
606,10930-1,CA $13.02,-
607,10931-1,CA $25.99,-
608,10932-1,CA $78.41,-
609,10933-1,CA $161.50,-
610,10934-1,CA $81.33,-
611,10937-1,CA $351.23,CA $231.17
612,1094-1,-,-
613,1095-1,-,-
614,1096-1,CA $9.25,CA $6.03
615,1097-1,-,CA $6.38
616,1098-1,-,CA $8.52
617,1099-1,CA $37.70,CA $17.59
618,1100-1,CA $67.18,CA $36.34
619,11001-1,CA $13.55,-
620,11002-1,CA $25.04,-
621,11003-1,CA $38.81,-
622,11004-1,CA $43.99,-
623,11005-1,CA $53.07,CA $54.29
624,11006-1,CA $7.14,CA $3.85
625,11007-1,CA $6.97,-
626,11008-1,CA $28.79,-
627,11009-1,CA $43.70,CA $35.00
628,110-1,CA $208.03,CA $51.37
629,11010-1,CA $11.97,-
630,1101-1,CA $16.69,-
631,11011-1,CA $77.70,-
632,1102-1,CA $4.26,-
633,1103-1,-,CA $23.49
634,1104-1,CA $40.69,-
635,1105-1,CA $3.75,-
636,1106-1,-,CA $66.77
637,1107-1,CA $32.09,CA $31.56
638,1108-1,CA $6.46,CA $9.39
639,1109-1,CA $14.29,-
640,1-11,CA $231.76,-
641,1110-1,CA $11.45,-
642,111-1,-,-
643,1111-1,CA $23.61,CA $12.99
644,111-2,-,CA $69.64
645,1112-1,CA $7.43,CA $8.48
646,1113-1,CA $13.14,CA $8.95
647,1114-1,CA $27.10,-
648,1115-1,CA $13.84,CA $2.77
649,1116-1,CA $21.34,-
650,1118-1,CA $6.90,-
651,111901-1,CA $9.22,-
652,111902-1,CA $9.15,-
653,111903-1,CA $9.67,CA $4.70
654,111904-1,CA $10.16,-
655,1119-1,CA $33.79,-
656,1-12,CA $398.76,-
657,112005-1,CA $9.47,CA $3.16
658,112006-1,CA $8.71,CA $4.70
659,112007-1,CA $8.43,CA $6.27
660,112008-1,CA $10.96,-
661,1120-1,CA $52.17,-
662,112-1,-,CA $77.05
663,1121-1,CA $12.50,CA $7.05
664,112-2,-,CA $140.30
665,1122-1,CA $8.93,-
666,1123-1,CA $23.51,-
667,1124-1,CA $10.41,-
668,1125-1,CA $31.34,-
669,1126-1,CA $4.49,-
670,1127-1,CA $30.27,CA $5.59
671,1128-1,CA $23.77,CA $5.01
672,1129-2,CA $38.42,CA $6.81
673,11-3,-,-
674,1130-1,-,CA $21.31
675,1131-1,CA $14.13,CA $0.77
676,113-2,-,CA $309.60
677,1132-1,CA $4.50,CA $1.57
678,1133-1,CA $3.39,-
679,1134-1,CA $109.69,-
680,1135-1,CA $59.37,-
681,1135-3,CA $35.05,-
682,1136-1,CA $34.48,-
683,1137-1,CA $21.39,-
684,1138-1,CA $64.27,-
685,1139-1,CA $39.18,-
686,1140-1,CA $34.48,-
687,114-1,-,CA $89.83
688,1141-1,CA $63.25,CA $6.27
689,1142-1,CA $26.91,-
690,1143-1,CA $63.35,-
691,1144-1,CA $35.51,-
692,1145-1,CA $10.26,-
693,1146-1,CA $35.57,-
694,1147-1,CA $19.42,CA $7.91
695,1148-1,-,CA $6.25
696,1149-1,CA $9.63,CA $9.48
697,1149-2,CA $54.84,-
698,1150-1,CA $78.36,-
699,115-1,CA $288.93,-
700,1151-1,CA $38.80,CA $19.59
701,115-2,-,CA $224.16
702,1152-1,CA $9.09,CA $3.42
703,1154-1,CA $19.12,-
704,1160-1,CA $62.91,-
705,116-1,-,CA $217.32
706,1161-1,CA $21.72,CA $19.26
707,1162-1,CA $26.64,-
708,1163-1,CA $23.32,-
709,1164-1,CA $24.40,-
710,1168-1,CA $47.50,CA $28.63
711,117-1,-,CA $73.39
712,1171-1,CA $15.05,-
713,11717-1,CA $100.05,-
714,1172-1,CA $15.67,-
715,1174-1,CA $6.90,-
716,1175-1,CA $17.16,-
717,1176-1,CA $5.95,-
718,1177-1,CA $86.93,-
719,1178-1,CA $15.66,-
720,1179-1,CA $13.41,-
721,1180-1,CA $23.52,CA $5.74
722,118-1,"CA $3,126.64",CA $871.25
723,1181-1,CA $36.39,CA $12.86
724,118-2,-,CA $101.68
725,1182-1,CA $23.51,CA $11.36
726,1183-1,CA $44.35,CA $30.16
727,1184-1,CA $44.37,CA $7.09
728,1185-1,CA $31.34,CA $13.13
729,1186-1,CA $50.87,CA $14.56
730,1187-1,CA $46.81,CA $13.58
731,1188-1,CA $30.78,CA $10.06
732,1189-1,CA $30.78,CA $9.63
733,1190-1,CA $30.79,CA $9.63
734,11903-1,CA $25.67,CA $15.67
735,119-1,-,CA $357.41
736,11910-1,CA $33.64,CA $17.41
